Pasada,Ciclo,Apoyo_inicio,Apoyo_fin,Balanceo_inicio,Balanceo_fin
1,3,10.810000000000002,11.317000000000009,11.317000000000009,11.590000000000003
1,8,22.109999999999985,22.8275172413793,22.8275172413793,23.129999999999995
1,9,23.569999999999993,24.13637168141594,24.13637168141594,24.370000000000005
