Tiempo;Derecha_S1;Derecha_S2;Derecha_S3;Derecha_S4;Derecha_S5;Derecha_S6;Derecha_S7;Derecha_S8
1239239;13;83;298;199;312;4;868;186
1239289;6;86;300;200;313;203;867;185
1239299;5;84;298;199;312;207;871;187
1239309;8;84;298;199;312;207;870;187
1239319;6;84;298;199;312;204;867;185
1239329;5;84;298;199;312;206;871;187
1239340;4;86;300;200;313;205;869;186
1239349;4;87;299;200;312;205;868;187
1239359;3;87;300;200;313;203;866;185
1239369;2;86;298;199;312;207;871;188
1239379;4;86;298;199;312;203;867;186
1239389;6;86;298;199;312;202;867;186
1239399;3;86;298;199;312;202;867;186
1239409;3;86;298;199;312;202;867;186
1239419;5;86;299;199;312;202;867;187
1239429;3;86;298;199;312;202;867;187
1239439;1;89;298;200;312;202;867;187
1239449;3;86;298;199;312;202;867;187
1239459;3;86;299;199;312;202;867;187
1239469;3;86;299;199;312;203;868;187
1239479;2;87;298;199;312;202;867;187
1239489;2;89;298;200;312;202;867;187
1239499;2;87;298;199;312;202;867;188
1239510;1;88;298;199;312;203;868;188
1239519;1;88;298;200;312;203;868;188
1239529;2;90;298;200;312;203;868;188
1239539;1;88;298;200;312;203;869;188
1239549;0;88;298;200;312;203;869;188
1239559;1;87;298;200;312;203;869;188
1239569;1;87;298;200;312;203;869;188
1239579;2;89;298;200;312;204;868;188
1239589;0;87;298;200;312;204;869;188
1239599;0;86;297;200;312;204;869;188
1239609;0;86;297;200;312;204;869;188
1239619;0;86;297;200;311;204;870;188
1239629;2;87;296;200;311;205;870;189
1239639;0;85;296;200;312;205;871;190
1239649;0;84;296;199;312;206;870;191
1239659;0;84;295;199;312;206;870;192
1239669;0;83;295;199;312;207;871;192
1239680;1;85;294;199;311;207;871;193
1239689;0;82;294;199;311;208;872;193
1239699;0;81;294;199;311;209;872;194
1239709;0;81;294;199;311;210;872;194
1239719;0;80;293;199;311;210;873;195
1239729;2;81;292;199;311;211;873;196
1239739;0;79;291;199;310;212;874;196
1239749;0;78;291;198;310;213;874;196
1239759;0;78;291;199;310;214;874;198
1239769;0;77;290;199;310;215;875;199
1239779;4;78;288;199;310;216;874;201
1239789;0;76;289;198;310;217;875;202
1239799;0;75;289;198;309;218;876;203
1239809;0;76;288;198;309;220;876;204
1239819;0;75;287;198;310;221;876;205
1239829;0;76;285;198;309;223;876;205
1239839;0;75;286;198;309;224;877;206
1239849;0;74;286;198;309;225;877;206
1239859;0;75;286;197;309;226;876;205
1239869;0;75;285;197;309;227;877;205
1239879;0;76;287;197;309;228;877;204
1239889;0;75;285;197;309;229;877;204
1239899;0;75;285;197;309;229;877;203
1239909;0;75;285;197;309;230;877;204
1239919;0;76;284;197;308;230;877;204
1239929;0;77;286;197;308;230;877;205
1239939;0;76;283;196;308;231;877;205
1239949;0;76;283;196;308;231;877;205
1239959;0;76;284;196;308;231;876;204
1239969;0;77;283;196;308;232;876;204
1239980;0;79;284;196;308;232;876;203
1239989;0;77;283;196;308;232;876;203
1239999;0;77;283;196;308;233;876;203
1240009;0;77;283;196;308;233;876;202
1240019;0;78;283;196;308;233;876;202
1240029;0;79;285;196;308;233;875;202
1240039;0;77;283;196;308;233;876;202
1240049;0;77;283;196;308;233;876;202
1240059;0;77;283;196;308;233;876;202
1240069;0;77;283;195;308;234;877;202
1240079;0;79;282;195;307;234;876;203
1240089;0;78;283;196;307;233;877;203
1240099;0;78;282;196;307;233;877;203
1240109;0;78;282;195;307;233;877;204
1240119;0;77;282;195;307;233;877;204
1240129;0;78;283;195;307;234;876;204
1240139;0;76;282;195;307;234;877;204
1240150;0;76;282;195;307;234;877;204
1240159;0;76;282;195;307;234;877;204
1240169;0;75;282;195;307;234;877;204
1240179;0;77;283;194;307;234;877;204
1240189;0;74;281;195;307;234;877;204
1240199;0;74;281;195;307;234;877;204
1240209;0;73;281;195;306;234;877;204
1240219;0;73;281;195;306;234;877;205
1240229;0;75;282;195;306;234;877;205
1240239;0;72;281;196;306;235;877;206
1240249;0;72;280;195;306;235;877;206
1240259;0;72;281;195;306;235;877;206
1240269;0;72;280;195;306;236;878;206
1240279;0;76;282;193;305;235;877;206
1240289;0;72;280;195;305;235;878;206
1240299;0;73;280;195;305;235;878;207
1240309;0;73;280;195;305;235;878;207
1240320;0;73;280;195;304;235;878;208
1240329;0;72;281;196;304;235;878;208
1240339;0;72;279;195;304;235;878;208
1240349;0;72;279;195;304;235;878;209
1240359;1;73;281;197;306;237;879;209
1240369;0;71;278;195;304;236;878;209
1240379;0;71;277;195;305;235;879;210
1240389;0;70;276;194;305;236;878;211
1240399;0;70;276;194;304;236;878;212
