Tiempo;Derecha_S1;Derecha_S2;Derecha_S3;Derecha_S4;Derecha_S5;Derecha_S6;Derecha_S7;Derecha_S8
297679;39;2;20;70;201;0;56;0
297689;38;3;20;71;202;0;57;0
297699;38;1;20;70;201;1;59;0
297709;37;0;21;71;202;2;58;1
297719;37;0;21;71;203;1;60;1
297729;37;0;20;72;203;2;61;1
297739;37;0;20;72;203;2;62;1
297749;38;0;20;71;203;2;65;1
297759;38;0;20;72;203;3;68;2
297769;38;0;20;72;203;2;70;1
297779;38;0;20;72;203;2;73;0
297789;38;0;20;72;203;3;75;2
297799;38;0;20;73;203;3;76;2
297809;39;0;20;73;204;3;77;4
297819;38;0;21;73;203;4;78;4
297829;38;0;20;73;204;4;80;3
297839;38;0;20;73;204;4;81;0
297849;38;0;20;74;204;4;82;0
297859;38;0;21;74;204;4;84;0
297869;38;0;21;74;204;3;85;0
297879;39;0;21;74;205;3;86;0
297889;40;0;22;74;205;3;88;0
297900;39;1;19;73;203;0;91;0
297909;40;2;19;73;204;0;92;0
297919;39;2;19;73;204;0;93;0
297929;40;1;19;73;204;0;94;0
297939;40;2;19;73;204;0;94;0
297949;40;2;19;73;204;0;95;0
297959;41;2;19;72;204;0;94;0
297969;40;2;19;72;204;0;94;0
297979;41;2;19;72;204;0;94;0
297989;39;2;19;72;204;0;94;0
297999;40;2;19;72;204;0;94;0
298009;39;2;19;72;204;0;94;0
298019;41;2;19;72;204;0;94;0
298029;41;2;19;72;204;0;94;0
298039;40;2;19;72;204;0;94;0
298049;40;2;19;72;204;0;93;0
298059;39;2;19;72;204;0;91;0
298070;39;2;19;72;204;0;90;0
298079;39;2;19;72;203;0;88;0
298089;39;1;19;72;202;0;86;0
298099;39;2;19;72;202;0;84;0
298109;39;2;19;72;202;0;82;0
298119;38;2;19;72;201;0;81;0
298129;38;1;19;72;201;0;80;0
298139;38;2;19;73;201;0;80;0
298149;38;2;19;73;200;0;80;0
298159;38;1;19;73;200;0;80;0
298169;38;2;19;73;200;0;80;0
298179;38;2;19;72;200;0;80;0
298189;38;2;19;72;201;0;80;0
298199;39;2;19;73;201;0;79;0
298209;38;1;19;73;201;0;80;0
298219;38;1;19;72;201;0;80;0
298229;38;1;19;73;201;0;79;0
298240;39;2;19;73;201;0;78;0
298249;39;2;19;73;201;0;78;0
298259;39;1;19;73;201;0;77;0
298269;39;1;19;73;202;0;76;0
298279;39;1;18;73;201;0;76;0
298289;39;1;18;73;202;0;75;0
298299;39;1;19;73;202;0;75;0
298309;40;1;18;73;202;0;75;0
298319;40;2;18;73;202;0;75;0
298329;40;1;18;73;202;0;75;0
298339;40;2;18;73;203;0;75;0
298349;40;2;19;73;203;0;75;0
298359;40;2;18;73;203;0;75;0
298369;40;2;18;73;203;0;75;0
298379;41;2;18;73;203;0;75;0
298389;40;2;18;73;203;0;76;0
298399;40;1;18;73;203;0;78;0
298409;40;1;18;73;203;0;79;0
298419;40;2;18;73;203;0;81;0
298429;40;1;18;73;203;0;82;0
298439;40;1;18;73;204;0;83;0
298449;40;2;18;73;204;0;83;0
298459;40;1;18;74;204;0;83;0
298469;40;2;18;74;204;0;84;0
298479;40;2;19;74;205;0;83;0
298489;41;2;19;74;205;0;82;0
298499;40;2;19;74;205;0;81;0
298509;41;2;19;74;205;0;81;0
298519;41;1;19;74;205;0;82;0
298529;41;1;19;74;205;0;81;0
298540;41;1;19;74;205;0;81;0
298549;41;1;19;74;205;0;81;0
298559;41;1;19;74;205;0;81;0
298569;42;1;19;74;205;0;81;0
298579;42;1;19;74;205;0;81;0
298589;42;1;20;74;205;0;80;0
298599;41;1;20;74;205;0;80;0
298609;41;1;20;74;205;0;80;0
298619;40;2;21;74;205;0;80;0
298629;39;1;21;74;205;0;80;0
298639;39;1;21;75;205;0;80;0
298649;38;1;21;75;204;0;80;0
298659;39;1;21;75;203;0;80;0
298669;40;1;21;76;203;0;80;0
298679;40;1;21;76;203;0;80;0
298689;40;1;21;76;203;0;80;0
