Tiempo;Derecha_S1;Derecha_S2;Derecha_S3;Derecha_S4;Derecha_S5;Derecha_S6;Derecha_S7;Derecha_S8
94720;0;36;351;288;315;0;832;412
94729;1;36;349;288;316;0;834;414
94739;0;37;348;288;315;1;834;415
94749;1;37;346;287;315;0;834;416
94759;1;39;343;285;315;0;833;416
94769;1;39;342;285;315;0;833;417
94779;1;39;340;284;314;0;834;417
94789;1;37;338;283;315;0;834;419
94799;0;35;338;283;312;0;834;420
94809;1;37;335;282;313;1;834;422
94819;1;36;334;281;313;0;834;424
94829;0;33;333;280;311;0;834;426
94839;0;33;332;279;311;0;834;428
94849;0;33;331;278;311;0;835;432
94859;0;33;329;277;310;0;835;434
94869;0;32;328;276;309;0;835;435
94879;0;32;326;275;309;0;836;437
94889;0;32;325;275;308;0;836;438
94899;0;32;323;274;307;0;837;440
94909;0;32;322;274;306;0;838;442
94919;0;32;321;274;306;0;839;444
94929;0;33;320;273;305;0;838;445
94939;0;33;318;273;305;0;838;446
94949;0;33;318;273;306;0;838;446
94959;0;33;317;274;306;0;837;447
94969;0;33;317;274;306;0;837;447
94979;0;34;316;274;306;0;837;447
94989;0;34;317;274;306;0;836;447
94999;0;34;317;274;307;0;835;446
95009;0;35;318;274;307;0;835;446
95020;0;35;318;274;307;0;834;445
95029;0;36;319;275;307;0;833;444
95039;0;37;320;275;308;0;832;443
95049;0;37;321;276;308;0;833;442
95059;0;37;322;276;309;0;832;441
95069;0;38;323;276;309;0;831;439
95079;0;38;323;276;309;0;831;436
95089;0;38;324;277;310;0;830;434
95099;0;39;325;278;310;0;830;432
95109;0;39;326;278;310;0;830;430
95119;0;38;327;278;311;0;830;429
95129;0;38;328;278;311;0;829;427
95139;0;39;328;279;312;0;828;425
95149;0;38;329;279;312;0;828;424
95159;0;38;330;279;312;0;827;422
95169;0;38;331;279;312;0;827;421
95179;0;38;331;280;312;0;827;420
95190;1;40;335;279;313;2;826;418
95199;0;38;332;280;312;0;827;418
95209;0;38;332;280;313;0;827;418
95219;0;38;332;280;313;0;828;417
95229;0;39;333;280;313;0;829;417
95239;1;40;335;279;313;0;831;417
95249;0;39;333;280;313;0;830;418
95259;0;38;332;281;313;0;830;418
95269;0;39;333;281;313;0;830;418
95279;0;38;333;281;313;0;830;417
95289;1;40;335;279;313;0;831;417
95299;0;39;334;281;314;0;830;416
95309;0;39;334;281;314;0;830;416
95319;0;39;334;281;314;0;829;415
95329;0;39;335;281;314;0;829;415
95339;1;40;337;278;313;0;829;414
95349;0;39;336;282;314;0;829;414
95360;0;39;337;282;314;0;829;413
95369;0;39;338;282;314;0;828;413
95379;0;39;338;282;314;0;828;412
95389;1;40;341;284;313;1;828;411
95399;0;38;340;282;315;0;828;411
95409;0;38;340;282;315;0;828;411
95419;0;38;341;282;315;0;828;410
95429;0;38;341;282;315;0;828;410
95439;1;40;343;285;314;1;828;409
95449;0;38;342;283;315;0;829;410
95459;0;38;342;283;315;0;829;409
95469;0;38;342;283;315;0;829;409
95479;0;38;342;284;315;0;829;409
95489;1;40;345;288;315;2;830;409
95499;0;39;343;284;315;0;829;410
95509;0;39;344;284;316;0;829;410
95519;0;39;345;284;316;0;829;410
95529;0;40;346;284;316;0;829;410
95539;2;41;349;287;316;3;830;408
95549;0;39;347;285;316;0;829;409
95559;0;39;349;285;316;0;829;407
95569;0;39;350;285;316;0;829;406
95579;0;38;351;286;316;0;828;404
95589;2;40;354;290;315;0;829;403
95599;0;39;353;286;316;0;828;402
95609;0;38;354;286;316;0;828;401
95619;0;38;354;286;316;0;828;401
95629;0;38;355;286;317;0;828;400
95639;2;40;359;289;315;0;830;401
95649;0;38;358;287;316;0;829;400
95660;0;38;358;287;316;0;829;400
95669;0;38;359;287;316;0;829;400
95679;0;37;360;287;316;0;829;400
95689;3;39;362;289;315;0;830;401
95699;0;37;360;287;316;0;830;401
95709;0;37;361;287;316;0;830;402
95719;0;36;361;287;316;0;830;403
95729;0;36;361;288;316;0;830;404
95739;0;38;363;290;313;0;831;407
95749;0;36;361;288;316;0;831;407
95759;0;36;361;288;316;0;831;408
95769;0;36;361;288;316;0;832;409
95779;0;36;360;288;316;0;832;410
95789;2;38;362;290;318;1;834;412
95799;0;36;360;288;317;0;832;411
95809;0;36;359;288;317;0;832;412
95819;0;37;361;291;320;0;833;413
95830;0;38;360;291;320;0;834;415
95839;0;38;359;290;319;1;834;416
95849;0;37;359;291;320;0;834;416
95859;0;37;359;290;320;0;834;416
95869;0;35;356;288;317;0;833;417
95879;0;35;356;289;317;0;833;417
95889;0;37;357;290;319;0;835;419
95899;0;37;357;290;320;0;835;419
95909;0;37;355;290;320;0;836;420
95919;0;36;354;290;320;0;837;421
95929;0;36;353;290;320;0;837;422
95939;0;33;349;288;317;0;836;424
95949;0;33;348;289;317;0;834;424
95959;0;33;347;289;317;0;835;427
95969;0;34;347;291;319;0;839;430
95979;0;34;346;290;319;0;840;431
95989;0;32;341;288;317;0;838;433
96000;0;32;341;288;317;0;835;434
96009;0;36;341;289;318;1;836;436
96019;0;33;338;289;318;0;836;437
96029;1;33;337;288;317;0;836;439
96039;0;32;336;287;317;0;835;438
96049;0;33;335;287;317;0;835;439
96059;0;36;336;289;319;1;837;441
96069;0;36;336;289;319;0;834;441
96079;0;36;335;289;319;0;835;441
96089;0;34;333;287;317;0;834;441
96099;0;35;333;287;317;0;834;440
96109;0;40;335;289;319;1;837;442
96119;0;39;334;289;319;0;834;442
96129;0;37;334;289;319;0;834;442
96139;0;36;334;289;319;0;835;442
