Tiempo;Izquierda_S1;Izquierda_S2;Izquierda_S3;Izquierda_S4;Izquierda_S5;Izquierda_S6;Izquierda_S7;Izquierda_S8
59189;188;326;436;393;321;610;800;291
59199;187;325;435;393;321;610;800;292
59209;187;325;436;393;321;610;799;292
59219;188;325;436;394;321;611;799;292
59229;187;325;436;394;322;610;799;292
59239;188;325;437;394;322;610;799;292
59249;187;325;437;395;321;611;799;293
59259;187;325;437;395;322;610;799;292
59269;188;325;438;394;322;610;800;292
59279;188;325;438;394;322;611;799;292
59289;188;325;438;395;322;611;799;292
59299;188;325;438;396;322;611;799;292
59309;188;325;438;395;323;610;799;292
59319;188;325;439;396;323;610;798;292
59329;189;326;439;396;323;611;797;292
59339;189;325;439;396;324;610;798;292
59350;189;325;440;397;323;610;797;292
59359;189;325;440;397;324;610;797;292
59369;189;325;441;397;324;610;797;292
59379;190;326;442;398;324;610;796;292
59389;191;326;444;398;325;611;798;292
59399;190;325;444;397;325;610;795;291
59409;190;325;445;398;325;610;794;291
59419;191;325;446;397;326;610;794;290
59429;190;325;446;397;325;610;793;290
59439;190;325;446;397;325;609;793;290
59449;191;325;447;397;325;609;793;289
59459;191;325;447;397;324;608;793;289
59469;191;325;447;397;324;608;793;289
59479;191;325;447;397;325;608;793;289
59489;191;325;446;397;323;609;793;289
59499;192;325;446;397;323;608;794;289
59509;192;325;446;398;323;609;793;289
59520;192;324;446;397;323;609;793;289
59529;192;325;445;397;322;609;793;290
59539;192;324;444;397;323;609;794;289
59549;192;324;444;397;322;609;794;290
59559;192;325;443;398;322;610;794;290
59569;192;324;442;397;321;609;794;290
59579;192;325;441;398;320;610;794;290
59589;192;324;441;397;321;609;794;290
59599;192;324;440;397;320;610;795;290
59609;192;324;440;397;320;609;795;290
59619;192;324;439;397;320;610;795;291
59629;192;324;439;397;320;610;794;291
59639;192;324;438;397;319;610;795;291
59649;192;325;438;397;319;611;795;291
59659;192;325;438;397;319;611;795;291
59669;192;324;437;396;319;610;795;291
59679;191;324;436;396;317;611;795;291
59689;191;324;435;395;318;610;796;292
59699;191;324;434;395;317;610;796;291
59709;191;324;433;394;317;611;795;292
59719;190;324;433;393;317;611;796;292
59729;190;324;432;393;317;611;797;292
59739;191;325;432;393;317;611;797;292
59749;189;324;430;392;317;612;797;292
59759;188;324;429;392;317;612;798;293
59789;185;324;426;391;318;612;799;292
59799;185;324;426;391;318;612;800;292
59809;184;325;425;392;318;613;800;292
59820;184;324;424;391;318;613;800;292
59829;183;324;424;390;319;613;801;292
59839;183;324;424;392;319;613;801;292
59849;183;324;423;390;319;613;801;292
59859;182;324;423;391;319;614;801;292
59869;182;324;423;390;320;614;801;292
59879;181;324;423;391;320;614;801;292
59889;181;324;423;391;321;615;801;292
59899;182;324;424;391;321;616;802;292
59909;181;324;422;391;320;615;801;291
59919;180;324;423;391;321;615;802;290
59929;181;324;423;391;321;615;802;290
59939;181;324;423;391;321;615;802;290
59949;180;324;423;391;322;615;803;289
59959;181;324;423;391;322;615;803;289
59969;180;324;423;391;322;615;803;289
59979;180;324;423;391;323;616;803;288
59990;180;324;424;391;323;616;803;288
59999;181;324;423;391;324;618;804;288
60009;181;324;424;391;323;616;803;288
60019;181;324;424;392;324;616;803;288
60029;181;324;424;392;324;616;804;287
60039;181;324;425;392;324;617;804;287
60049;181;324;425;391;325;616;805;287
60059;181;324;425;392;325;617;804;287
60069;181;324;426;392;326;617;804;287
60079;181;324;426;392;326;617;805;287
60089;181;324;426;392;326;616;805;286
60099;182;325;427;392;327;616;805;286
60109;181;325;427;392;327;616;805;286
60119;181;325;427;392;328;616;805;286
60129;181;326;427;392;328;616;805;286
60139;181;326;427;392;328;616;805;286
60149;181;325;428;392;328;616;805;286
60160;181;326;428;391;329;616;806;285
60169;181;326;429;391;329;616;806;285
60179;182;325;429;391;330;617;806;287
60189;182;326;429;392;329;617;805;286
60199;181;326;430;392;329;617;806;287
60209;182;325;430;392;330;617;806;288
60219;182;326;431;391;330;617;806;288
60229;182;325;432;392;330;617;806;288
60239;183;325;432;392;331;617;807;289
60249;183;326;433;392;330;617;806;289
60259;182;326;433;392;331;617;806;290
60269;183;326;433;392;331;618;806;291
60279;183;326;434;392;332;617;806;291
60289;183;325;434;393;331;618;805;291
60299;183;326;434;393;332;617;806;291
60309;183;326;435;393;332;617;806;292
60319;183;326;435;393;331;618;805;293
60329;183;326;435;393;332;618;805;293
60339;183;326;434;393;332;618;805;293
60349;183;326;435;392;331;618;805;294
60359;184;326;434;393;332;618;806;294
60369;184;325;435;392;332;618;806;294
60379;183;325;434;393;331;618;805;294
60389;184;326;435;392;331;618;806;294
60399;183;326;434;392;331;618;805;294
60409;184;326;434;393;331;619;805;294
60419;184;326;434;393;331;619;805;293
60429;184;326;434;393;330;618;805;293
60439;184;326;434;392;329;619;805;293
60449;184;326;434;393;330;620;805;293
60460;184;326;434;393;329;620;805;293
60469;184;325;434;392;329;619;805;293
60489;184;325;434;393;329;620;805;293
60499;184;326;434;392;328;620;805;293
60509;184;325;434;393;328;619;805;293
60519;184;325;434;393;328;619;805;292
