Tiempo;Izquierda_S1;Izquierda_S2;Izquierda_S3;Izquierda_S4;Izquierda_S5;Izquierda_S6;Izquierda_S7;Izquierda_S8
96829;301;465;684;542;464;578;909;775
96839;302;466;687;544;468;577;909;777
96849;304;469;690;546;473;576;909;778
96859;305;470;693;549;478;575;906;778
96869;307;473;697;552;483;571;905;777
96879;308;476;700;556;488;567;903;777
96889;308;477;704;558;493;563;901;777
96899;309;479;707;561;497;558;899;776
96909;309;481;710;563;500;555;898;776
96919;309;482;715;567;504;550;896;775
96929;310;483;718;569;507;545;896;774
96940;312;486;721;573;510;540;894;773
96949;312;487;725;574;513;535;892;771
96959;313;490;727;576;515;528;890;770
96969;314;492;729;576;518;522;889;768
96979;315;493;732;579;520;515;887;768
96989;316;496;734;581;522;509;886;767
96999;317;498;736;583;524;503;885;766
97009;317;500;738;584;526;497;884;765
97019;317;501;739;585;528;491;882;764
97029;318;504;741;587;529;485;882;762
97039;318;504;741;589;529;478;881;761
97049;318;506;742;590;528;470;879;758
97059;318;507;742;591;525;457;876;753
97069;319;508;742;592;521;438;872;746
97079;319;509;744;595;518;420;872;740
97089;319;508;740;594;510;400;864;730
97099;319;507;738;593;504;380;859;720
97110;319;507;737;592;496;361;852;707
97119;319;507;734;591;489;341;844;690
97129;318;507;731;589;481;323;834;672
97139;317;506;729;588;474;306;825;653
97149;315;504;725;584;465;290;808;627
97159;312;503;722;582;456;275;792;597
97169;309;503;717;579;448;262;771;562
97179;307;501;713;576;440;250;748;528
97189;305;500;707;572;431;237;716;495
97199;302;498;702;569;421;224;668;464
97209;301;496;696;564;411;213;612;435
97219;299;493;688;560;402;201;553;408
97229;297;491;682;555;392;189;499;381
97239;295;488;674;550;382;179;452;357
97249;294;484;667;546;374;170;408;336
97259;294;481;659;540;366;160;368;314
97269;293;478;651;535;359;152;333;293
97280;291;473;641;528;351;144;302;274
97289;292;470;630;520;344;136;273;254
97299;289;466;617;509;336;128;247;238
97309;287;462;603;498;328;121;223;220
97319;285;457;583;486;320;115;202;206
97329;282;451;559;471;313;108;183;192
97339;278;446;532;458;304;102;166;179
97349;274;440;500;446;296;96;150;168
97359;271;434;462;434;288;89;136;159
97369;267;428;424;421;282;83;123;150
97379;263;423;385;408;276;77;112;148
97389;257;417;349;394;268;72;101;151
97399;252;411;316;380;262;66;91;156
97409;247;404;286;362;259;61;83;165
97419;245;399;259;344;254;56;76;177
97429;245;393;234;325;248;50;67;185
97439;242;387;212;307;242;46;61;190
97449;240;381;192;288;236;42;56;195
97459;238;376;174;268;230;38;50;200
97469;236;371;157;251;225;34;46;203
97479;234;369;143;235;220;30;41;205
97489;233;367;129;219;217;28;37;208
97499;229;365;117;205;212;24;34;210
97509;226;361;106;187;209;23;31;213
97519;212;355;96;170;204;20;29;217
97529;193;348;86;154;201;18;26;220
97539;172;339;78;139;198;16;24;223
97549;156;329;71;125;195;15;22;226
97559;142;319;65;113;193;13;19;228
97569;128;310;60;103;193;12;18;230
97580;115;298;54;93;190;11;16;232
97589;104;287;48;85;187;10;14;233
97599;94;274;43;75;185;9;13;235
97609;85;265;40;69;185;7;12;238
97619;77;256;36;63;183;7;11;239
97629;70;249;33;56;182;5;9;240
97639;63;242;30;51;182;6;9;242
97649;57;234;26;47;181;4;8;242
97659;52;230;24;42;182;5;8;243
97669;47;225;22;38;185;3;6;242
97679;42;218;20;35;190;2;6;245
97689;38;211;18;31;197;3;5;253
97699;34;206;16;30;203;2;5;262
97709;31;201;14;37;209;3;4;267
97719;29;201;13;53;215;6;3;275
97729;33;205;12;78;221;11;3;285
97739;42;211;11;105;227;17;3;293
97750;55;218;9;132;231;22;3;297
97759;68;226;9;161;237;25;2;299
97769;83;235;8;186;243;26;2;301
97779;97;244;6;209;250;28;1;303
97789;110;253;6;229;256;31;1;306
97799;122;262;6;248;263;34;1;311
97809;132;271;7;267;268;38;1;314
97819;143;278;12;283;272;46;1;318
97829;152;285;24;297;277;57;0;324
97839;160;291;43;310;281;70;1;332
97849;166;296;65;322;285;84;24;342
97859;172;301;90;333;290;100;124;356
97869;178;306;115;342;295;113;326;374
97879;181;310;141;350;300;128;531;392
97889;186;315;169;357;303;140;668;410
97899;189;319;199;365;305;152;756;427
97909;191;324;228;371;307;163;809;445
97920;193;328;257;378;310;173;840;464
97929;196;332;282;383;313;183;859;482
97939;197;337;307;387;316;194;873;500
97949;198;339;328;390;319;206;880;515
97959;199;341;347;394;322;218;886;528
97969;199;344;366;397;325;231;891;541
97979;198;347;383;400;328;240;894;554
97989;197;349;396;401;330;250;897;568
97999;197;351;408;404;332;257;901;579
98009;194;352;418;406;334;261;901;589
98019;192;353;426;407;336;266;902;600
98029;190;354;434;407;338;270;904;610
98039;187;355;440;408;339;276;905;620
98049;185;355;444;408;342;280;906;631
98059;183;354;448;408;345;282;905;637
98069;180;354;453;406;347;285;905;646
98079;178;353;458;406;350;287;906;653
98089;175;352;462;405;352;288;906;659
98099;173;350;467;404;355;289;906;666
98109;171;351;472;404;358;289;905;671
98119;169;349;478;405;360;290;904;675
98129;167;350;484;406;363;290;903;678
98139;166;349;490;408;365;290;902;680
98149;166;350;497;410;367;289;901;681
98159;165;350;504;412;369;288;900;682
98169;165;350;512;413;372;285;896;681
98179;165;351;521;416;374;281;892;679
98189;166;353;529;418;377;278;887;674
98199;167;354;538;421;380;273;881;667
98209;168;356;546;425;384;267;874;657
98220;169;359;557;429;386;262;866;644
98229;172;362;570;433;391;257;856;630
98239;175;364;582;436;395;248;842;611
98249;179;367;595;442;400;239;826;588
98259;183;370;609;446;404;231;805;559
98269;189;373;622;452;408;222;779;527
98279;194;377;636;456;413;214;750;497
98289;199;381;649;461;418;204;716;467
98299;204;384;661;466;422;196;669;441
98309;210;389;673;473;427;188;615;418
98319;214;392;681;477;430;179;557;394
98329;220;396;691;483;434;173;504;374
98339;226;399;698;491;437;168;455;355
98349;232;403;705;497;440;163;411;337
98359;238;406;711;503;443;159;371;321
98369;244;409;717;510;445;154;336;305
98379;250;412;723;516;447;151;304;292
98390;254;414;728;520;447;146;275;278
98399;260;417;733;525;447;142;248;265
98409;268;419;737;530;445;138;226;251
