Tiempo;Izquierda_S1;Izquierda_S2;Izquierda_S3;Izquierda_S4;Izquierda_S5;Izquierda_S6;Izquierda_S7;Izquierda_S8
99500;216;305;282;366;249;744;867;238
99509;217;304;283;366;249;744;867;237
99519;217;305;284;367;249;744;867;236
99529;216;305;285;367;249;743;866;236
99539;216;305;287;367;249;743;866;236
99549;216;305;288;368;249;743;867;236
99559;216;305;289;368;249;743;866;236
99569;216;306;291;368;249;743;866;235
99579;216;306;293;368;249;743;867;235
99589;216;306;295;369;249;743;866;235
99599;217;306;295;368;250;744;866;235
99609;217;306;297;369;250;743;866;234
99619;217;306;299;370;250;743;866;234
99629;217;307;300;370;251;743;866;234
99639;217;307;301;370;252;743;866;234
99649;217;307;302;370;252;743;866;234
99659;217;307;303;371;253;744;868;235
99670;216;307;305;371;252;742;866;235
99679;215;308;306;372;253;743;866;236
99689;213;308;308;372;253;742;866;236
99699;212;308;308;372;254;743;865;236
99709;211;308;310;373;254;742;866;237
99719;210;308;312;374;255;742;866;237
99729;209;309;312;375;256;742;866;238
99739;209;309;313;375;256;742;866;239
99749;208;309;315;375;257;742;866;239
99759;207;308;315;376;257;741;866;239
99769;207;308;316;376;257;741;867;239
99779;206;309;316;376;259;742;866;240
99789;206;309;317;377;258;741;865;239
99799;205;309;318;377;259;741;866;241
99809;205;309;319;377;261;742;865;240
99819;204;309;320;378;260;741;866;240
99829;203;309;320;377;260;741;866;241
99840;203;309;321;378;261;741;866;241
99849;202;310;322;378;261;741;865;241
99859;203;309;323;378;261;741;866;242
99869;203;309;324;379;262;742;867;243
99879;203;310;325;379;263;740;865;243
99889;202;310;327;380;263;740;866;242
99899;203;310;327;380;264;740;866;244
99909;203;310;328;380;264;741;866;244
99919;202;310;329;380;265;740;866;245
99929;203;310;329;380;264;740;865;245
99939;203;311;330;380;265;741;866;244
99949;203;311;330;381;265;740;866;245
99959;203;312;331;382;266;742;868;245
99969;202;311;331;381;265;740;865;246
99979;202;311;332;381;265;740;865;245
99989;202;312;333;381;266;741;867;245
99999;202;312;333;381;266;740;866;246
100009;202;312;334;381;266;740;864;246
100019;203;312;334;381;266;740;865;247
100029;203;313;334;380;266;739;865;246
100039;203;313;335;381;266;739;864;247
100049;204;313;335;381;265;739;864;247
100059;204;312;336;381;266;739;864;247
100069;204;312;336;381;266;739;864;247
100079;206;313;338;382;266;739;862;246
100089;206;313;340;382;266;739;862;247
100099;206;313;342;383;266;739;862;247
100109;206;313;344;383;265;739;861;247
100119;206;313;346;384;266;739;862;247
100129;208;313;348;385;266;740;863;248
100140;208;314;351;385;265;738;861;248
100149;207;314;352;385;265;738;859;246
100159;207;314;356;385;265;738;860;246
100169;207;314;358;386;265;739;859;247
100179;208;315;361;387;265;738;859;247
100189;209;315;363;387;266;738;858;246
100199;208;315;366;387;266;737;858;247
100209;209;316;368;387;266;738;858;246
100219;209;316;370;388;267;738;858;245
100229;210;316;373;387;268;737;858;244
100239;211;317;376;387;268;737;858;243
100249;212;317;379;388;269;737;857;241
100259;212;318;381;388;269;737;856;240
100269;211;318;384;388;270;736;856;239
100279;212;318;386;389;270;736;856;238
100289;212;319;388;388;270;737;856;237
100299;212;319;390;389;271;737;856;237
100310;213;319;391;389;270;737;856;235
100319;213;320;393;390;271;737;857;236
100329;213;319;394;390;271;736;855;234
100339;213;320;396;391;271;737;855;234
100349;214;320;397;391;272;737;855;234
100359;214;320;398;391;272;737;856;234
100369;214;321;399;391;273;737;855;234
100379;215;321;399;392;274;737;856;234
100389;214;321;400;392;274;737;856;234
100399;215;321;400;392;274;736;856;234
100409;215;322;400;392;275;737;856;233
100419;215;321;401;392;274;736;856;233
100429;215;321;401;392;274;736;856;234
100439;216;322;402;392;275;736;856;233
100449;214;322;402;393;275;736;856;234
100459;214;322;404;392;275;735;856;234
100469;212;323;404;392;275;735;856;234
100480;213;322;405;393;275;734;855;234
100489;212;322;406;393;275;734;854;234
100499;212;322;406;393;275;734;855;234
100509;212;323;407;393;277;734;855;234
100519;213;323;407;393;276;734;855;234
100529;213;322;408;393;277;733;854;234
100539;213;322;408;394;277;733;854;235
100549;214;322;408;394;277;733;854;233
100559;214;322;409;393;277;733;854;233
100569;214;323;410;393;278;733;854;233
100579;215;323;412;394;276;732;853;233
100589;214;323;411;394;277;732;852;233
100599;214;323;412;394;276;731;852;232
100609;214;323;413;394;276;731;852;231
100619;214;324;414;394;276;731;852;231
100629;215;324;415;395;275;732;852;231
100639;216;324;415;395;276;732;852;230
100649;216;323;415;395;275;731;850;229
100659;216;324;416;395;275;731;851;229
100669;217;324;417;395;275;730;850;227
100679;216;325;417;395;275;730;850;228
100689;216;325;418;395;275;730;850;228
100699;217;325;419;395;275;730;850;226
100709;217;326;418;396;275;730;850;226
100719;217;326;418;395;275;729;850;226
100729;218;326;419;396;276;729;850;226
100739;218;326;420;396;275;729;849;225
100749;218;326;420;396;275;729;850;226
100759;219;327;421;397;277;731;849;225
100769;218;327;421;397;276;730;850;226
100780;219;327;422;398;276;729;849;224
100789;219;328;423;398;277;731;850;224
100799;219;327;423;398;276;729;849;225
100819;220;327;424;398;276;729;848;224
100829;220;328;425;397;276;729;849;224
100839;221;327;425;397;275;729;848;224
100849;221;327;425;397;275;729;848;222
100859;222;328;426;398;276;729;848;222
100869;222;328;426;397;275;728;848;221
100879;223;328;427;397;275;729;848;219
100889;223;328;428;397;276;728;847;218
100899;224;328;428;397;276;729;848;218
100909;224;329;429;397;276;728;848;217
100919;224;328;430;397;276;728;848;217
