Tiempo;Derecha_S1;Derecha_S2;Derecha_S3;Derecha_S4;Derecha_S5;Derecha_S6;Derecha_S7;Derecha_S8
707269;3;38;258;184;249;296;862;568
707279;3;38;259;178;246;294;865;568
707289;2;38;257;172;244;292;866;570
707299;2;38;256;166;243;289;867;571
707309;1;36;256;159;242;287;867;571
707319;0;33;253;150;240;283;867;570
707329;1;30;255;142;241;281;864;569
707339;1;27;252;133;238;276;861;567
707349;2;24;250;123;236;268;856;563
707359;1;21;247;111;233;257;851;558
707369;1;19;245;98;232;242;845;550
707379;1;17;242;87;231;221;836;540
707389;2;16;240;77;231;194;826;526
707399;0;12;232;68;225;156;818;508
707409;0;11;228;60;224;120;810;483
707419;0;11;224;55;224;91;802;453
707429;0;11;220;51;224;68;794;415
707439;0;10;217;49;223;52;784;374
707449;0;9;216;51;223;39;776;330
707459;0;9;217;57;223;30;767;285
707469;0;9;219;65;223;23;757;242
707479;0;11;220;71;224;17;749;201
707489;0;12;222;78;223;13;750;165
707500;0;14;225;85;224;10;757;135
707509;0;15;226;93;225;8;771;112
707519;0;18;227;98;225;6;789;96
707529;0;19;229;103;226;4;805;88
707539;0;21;231;107;227;4;820;89
707549;0;22;233;111;229;3;831;99
707559;0;23;235;114;231;2;841;118
707569;0;23;237;115;232;2;849;143
707579;0;23;239;116;234;1;855;171
707589;0;23;241;117;236;1;859;206
707599;0;21;241;118;237;1;864;245
707609;0;20;241;118;237;0;869;293
707619;0;18;241;119;236;0;873;349
707629;0;17;242;120;234;0;876;402
707639;0;16;240;122;233;0;880;445
707649;0;14;239;123;233;7;884;479
707659;0;13;238;124;232;32;887;505
707670;0;11;238;127;230;66;890;529
707679;0;10;237;128;231;107;894;547
707689;0;9;236;131;231;150;899;565
707699;0;9;236;134;232;193;902;579
707709;0;8;236;137;234;234;906;593
707719;0;8;236;140;236;271;909;604
707729;0;8;237;142;238;305;912;613
707739;0;9;237;144;240;334;913;620
707749;0;10;238;147;242;361;915;626
707759;0;12;239;151;244;383;915;630
707769;0;13;240;155;244;401;915;634
707779;0;15;241;159;245;415;916;637
707789;0;16;242;163;246;425;916;640
707799;0;17;244;167;248;434;916;642
707809;0;17;245;171;251;442;917;644
707819;0;18;246;174;251;447;917;646
707829;0;18;246;176;251;452;917;648
707840;1;18;247;178;252;455;918;649
707849;1;18;248;180;253;459;918;650
707859;3;18;249;182;254;461;918;650
707869;4;18;250;184;256;462;918;650
707879;5;18;251;186;257;463;918;650
707889;6;17;252;188;258;464;918;650
707899;7;17;252;189;258;464;918;650
707909;8;17;253;190;259;464;918;649
707919;10;17;253;191;260;464;917;648
707929;13;17;254;192;260;463;917;648
707939;14;17;254;194;260;463;916;647
707949;20;20;256;198;258;463;914;645
707959;24;21;256;199;258;462;913;644
707969;26;20;255;198;259;459;911;643
707979;33;22;256;200;259;457;909;642
707989;38;22;257;203;260;455;905;640
707999;45;24;257;204;260;451;899;636
708009;49;24;257;205;261;444;888;632
708019;51;24;257;206;262;438;875;626
708029;52;23;256;207;263;431;867;621
708039;53;22;255;208;264;424;862;615
708049;53;20;253;208;265;417;858;610
708059;53;18;251;208;265;411;856;604
708069;53;16;249;207;265;406;852;599
708079;52;16;247;208;266;401;851;594
708089;51;14;245;208;266;396;850;590
708099;51;14;244;208;266;392;850;585
708109;51;13;243;208;266;389;850;580
708119;51;13;242;207;267;386;850;577
708129;51;13;242;207;267;382;849;574
708140;52;13;242;206;267;378;849;572
708149;52;13;243;206;267;373;849;570
708159;53;15;244;206;266;366;849;568
708169;54;16;245;206;266;360;849;567
708179;55;17;246;205;265;353;849;567
708189;56;17;247;205;265;347;850;567
708199;59;20;249;205;264;341;850;566
708209;60;20;250;205;264;335;851;566
708219;61;22;250;204;263;329;851;565
708229;61;23;251;204;263;323;851;564
708239;62;23;252;204;262;316;850;563
708249;63;24;253;205;262;309;850;562
708259;64;24;254;205;261;303;850;561
708269;64;25;254;205;261;295;849;559
708279;65;25;256;204;261;287;848;558
708289;65;25;256;204;261;278;847;556
708299;66;26;257;205;261;266;846;552
708310;66;27;258;205;260;251;844;547
708319;67;26;259;205;260;232;841;541
708329;67;27;262;207;262;212;840;535
708339;70;26;261;205;260;184;834;524
708349;71;28;265;207;264;147;830;513
708359;75;28;265;205;260;114;823;495
708369;78;30;267;205;261;87;817;475
708379;79;34;270;207;263;67;812;452
708389;84;34;270;206;261;50;805;422
708399;87;35;272;206;261;38;800;391
708409;91;37;274;207;262;28;797;357
708419;95;40;276;207;262;22;794;322
708429;98;44;281;210;264;18;793;292
708439;104;45;281;209;262;13;789;258
708449;108;48;283;211;261;10;785;226
708459;113;50;285;212;260;8;784;197
708469;116;52;287;213;260;6;784;171
708480;117;56;290;216;261;6;790;152
708489;119;57;293;217;262;2;794;136
708499;121;54;292;216;257;3;801;126
708509;122;54;293;216;256;2;809;121
708519;122;53;293;217;254;1;814;122
708529;121;52;293;217;253;1;820;126
708539;116;52;292;216;253;1;823;137
708549;114;51;292;216;252;0;827;145
708559;113;51;291;216;252;0;829;156
708569;111;52;291;216;253;1;832;169
708579;107;51;291;216;253;1;833;181
708589;105;51;288;215;252;0;835;191
708599;100;48;288;215;252;0;836;201
708609;100;47;286;215;252;0;836;212
708619;96;46;285;214;251;0;836;221
708629;88;45;283;214;251;0;837;229
708639;84;45;284;216;253;0;837;237
708649;80;45;284;216;253;0;838;245
708659;78;42;282;214;251;0;840;252
708669;73;42;281;214;251;0;841;260
708679;67;43;282;216;253;1;844;269
708689;64;41;280;214;251;0;843;277
708699;61;40;280;214;251;0;844;285
708709;59;40;279;213;250;0;846;292
708719;56;39;279;213;250;0;848;299
708729;54;41;282;215;252;1;851;310
708739;52;38;279;212;250;0;849;317
708749;50;39;279;212;250;0;849;327
708759;49;38;279;212;249;0;851;339
708769;47;38;279;213;249;0;854;351
708780;46;39;282;215;250;1;859;367
708789;46;40;280;214;249;0;857;382
708799;45;41;281;215;249;0;860;399
708809;46;42;282;216;249;0;861;415
708819;46;42;283;217;249;0;862;429
708829;47;39;286;220;251;3;865;442
708839;48;44;284;218;249;4;862;450
708849;50;44;285;219;250;7;862;457
708859;52;45;286;219;250;13;862;463
708869;53;45;286;218;251;20;862;467
708879;55;43;289;220;251;30;864;472
708889;56;46;288;219;250;35;862;473
708899;57;47;289;219;250;41;862;474
708909;59;47;290;219;250;46;860;474
708919;61;48;291;219;250;49;859;474
708929;62;46;294;222;253;54;861;475
