Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
1209059,2,544,0,1,1,1,4,0
1209069,0,544,0,0,0,0,0,0
1209079,0,544,0,0,0,0,0,0
1209089,0,544,0,1,1,1,4,0
1209099,0,544,0,0,0,0,0,0
1209109,0,544,0,0,0,0,0,0
1209119,0,544,0,0,0,0,0,0
1209129,0,544,0,0,0,0,0,0
1209139,0,544,0,0,0,0,0,0
1209149,0,544,0,0,0,0,0,0
1209159,0,543,0,0,0,0,0,0
1209169,0,543,0,2,0,1,3,0
1209179,0,543,0,1,0,1,1,0
1209189,0,542,0,2,0,1,1,0
1209199,0,542,0,0,0,0,0,0
1209209,0,543,0,0,0,0,0,0
1209219,0,543,0,0,0,0,0,0
1209229,0,543,0,0,0,0,0,0
1209239,0,543,0,0,0,0,0,0
1209249,0,543,0,0,0,0,0,0
1209260,0,543,0,0,0,0,0,0
1209269,0,543,0,0,0,0,0,0
1209279,1,546,4,0,0,0,0,0
1209289,0,542,0,0,0,0,0,0
1209299,0,542,0,0,0,0,0,0
1209309,0,543,0,0,0,0,0,0
1209319,1,547,4,0,0,0,0,0
1209329,0,543,0,0,0,0,0,0
1209339,0,543,0,0,0,0,0,0
1209349,0,544,0,0,0,0,0,0
1209359,0,544,0,0,1,1,1,4
1209369,0,544,0,0,0,0,0,0
1209379,0,544,0,0,0,0,0,0
1209389,1,548,3,0,0,0,0,0
1209399,1,547,3,0,0,0,0,0
1209409,0,544,0,0,0,0,0,0
1209419,0,544,0,0,1,1,0,4
1209430,0,545,0,0,1,0,1,3
1209439,0,544,0,0,1,0,1,4
1209449,0,544,0,0,0,0,0,0
1209459,1,548,1,0,0,0,0,0
1209469,0,545,0,0,0,0,0,0
1209479,0,545,0,0,0,0,0,0
1209489,0,545,0,0,0,0,0,0
1209499,0,546,0,0,0,0,0,0
1209509,0,545,0,0,0,0,0,0
1209519,0,546,0,0,0,0,0,0
1209529,1,549,0,0,0,0,0,0
1209539,0,545,0,0,0,0,0,0
1209549,0,545,0,0,0,0,0,0
1209559,0,545,0,0,0,0,0,0
1209569,0,545,0,0,0,0,0,0
1209579,0,545,0,0,0,0,0,0
1209589,0,545,0,0,0,0,0,0
1209600,2,545,0,0,0,1,0,0
1209609,0,545,0,0,0,0,0,0
1209619,0,545,0,0,0,0,0,0
1209629,0,545,0,0,0,0,0,0
1209639,0,545,0,0,0,0,0,0
1209649,0,545,0,0,0,1,0,1
1209659,0,545,0,0,0,0,0,0
1209669,0,549,0,4,0,0,0,0
1209679,0,545,0,0,0,1,0,1
1209689,0,545,0,0,0,1,1,1
1209699,0,545,0,0,0,1,1,1
1209709,0,544,0,0,0,0,0,0
1209719,4,544,0,0,0,0,0,0
1209729,0,545,0,0,0,0,0,0
1209739,0,545,0,0,0,0,0,0
1209749,0,545,0,0,0,0,0,0
1209759,0,545,0,0,0,0,0,0
1209769,0,545,0,0,0,0,0,0
1209779,0,545,0,0,0,0,0,0
1209789,1,544,0,0,0,1,1,0
1209799,0,545,0,0,0,0,0,0
1209809,1,544,0,0,0,0,0,0
1209819,0,545,0,0,0,0,0,0
1209829,0,546,0,0,0,0,0,0
1209839,0,546,0,0,0,0,0,0
1209849,0,546,0,0,0,0,0,0
1209859,1,549,1,0,0,0,0,0
1209869,1,542,0,0,0,0,0,0
1209879,0,545,0,0,0,0,0,0
1209889,0,546,0,0,0,0,0,0
1209900,0,546,0,0,0,0,0,0
1209909,0,546,0,0,0,0,0,0
1209919,0,548,0,0,0,0,0,0
1209929,0,546,0,0,0,0,0,0
1209939,0,546,0,0,0,0,0,0
1209949,0,548,0,0,0,0,0,0
1209959,0,548,0,0,0,0,0,0
1209969,1,546,0,0,0,0,0,0
1209979,1,545,0,0,0,0,0,0
1209989,1,545,0,0,0,0,0,0
1209999,0,548,0,0,0,0,0,0
1210009,0,546,0,0,0,0,0,0
1210019,0,548,0,0,0,0,0,0
1210029,0,548,0,0,0,0,0,0
1210039,0,547,0,1,0,0,0,0
1210049,0,545,0,0,0,0,0,0
1210059,0,546,0,0,0,0,0,0
1210070,0,546,0,0,0,0,0,0
1210079,0,546,0,0,0,0,0,0
1210089,0,546,0,0,0,0,0,0
