Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
643679,0,0,0,0,0,583,0,0
643689,1,1,0,0,0,583,0,0
643699,0,0,0,0,0,583,0,0
643709,5,0,5,0,0,583,0,0
643719,5,0,2,0,0,583,0,0
643729,6,0,1,0,0,582,0,0
643739,6,0,0,0,0,583,0,0
643749,0,0,0,0,0,583,0,0
643759,1,0,0,0,1,582,0,0
643769,1,1,1,0,1,582,0,0
643779,0,0,0,0,0,583,0,0
643789,0,0,0,0,0,584,0,0
643799,0,0,0,0,0,583,0,0
643809,0,0,0,0,0,583,0,0
643819,0,0,0,0,0,583,0,0
643829,1,0,1,0,4,583,0,0
643840,0,0,0,0,0,583,0,0
643849,1,0,0,0,0,583,0,0
643859,0,0,0,0,0,583,0,0
643869,0,0,0,0,0,583,0,0
643879,0,0,0,0,0,583,0,0
643889,0,0,0,0,0,583,0,0
643899,1,0,0,0,4,582,0,0
643909,0,0,0,0,0,583,0,0
643919,0,0,0,0,0,584,0,0
643929,0,0,0,0,0,583,0,0
643939,0,0,0,0,0,584,0,0
643949,0,0,0,0,0,584,0,0
643959,0,0,0,0,0,584,0,0
643969,1,0,1,1,3,581,0,0
643979,1,2,0,3,3,582,0,0
643989,1,2,0,3,3,582,0,0
643999,1,1,0,4,3,582,0,0
644009,0,0,0,0,0,584,0,0
644019,0,0,0,0,0,584,0,0
644029,0,0,0,0,0,584,0,0
644039,1,0,0,1,0,579,0,0
644049,0,0,0,0,0,584,0,0
644059,0,0,0,0,0,584,0,0
644069,0,0,0,0,0,584,0,0
644079,0,0,0,0,0,584,0,0
644089,0,0,0,5,0,580,0,0
644099,0,0,0,0,0,584,0,0
644109,1,4,0,5,0,579,0,0
644119,0,0,0,0,0,584,0,0
644129,0,0,0,0,0,584,0,0
644140,0,0,0,0,0,584,0,0
644149,0,0,0,0,0,584,0,0
644159,0,0,0,0,0,584,0,0
644169,0,0,0,0,0,584,0,0
644179,0,0,0,0,0,584,0,0
644189,0,0,0,0,0,584,0,0
644199,0,0,0,0,0,584,0,0
644209,0,0,0,0,0,584,0,0
644219,0,0,0,0,0,584,0,0
644229,0,0,0,0,0,584,0,0
644239,0,0,0,0,0,584,0,0
644249,0,0,0,0,0,584,0,0
644259,0,0,0,0,0,584,0,0
644269,0,0,0,0,0,583,0,0
644279,0,0,0,0,0,583,0,0
644289,0,0,0,0,0,584,0,0
644299,0,0,0,0,0,583,0,0
644310,0,0,0,0,0,583,0,0
644319,0,0,0,0,0,583,0,0
