Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
1162329,0,368,0,0,0,0,0,0
1162339,0,367,0,0,0,0,0,0
1162349,0,367,0,0,0,0,0,0
1162359,0,367,0,0,0,0,0,0
1162369,0,367,0,0,0,0,1,1
1162379,1,369,0,0,0,0,0,0
1162389,2,368,0,0,0,0,0,0
1162399,3,369,0,0,0,0,0,0
1162409,0,367,0,0,0,0,0,0
1162419,0,367,0,0,0,0,0,0
1162429,0,367,0,0,0,0,0,0
1162439,0,367,0,0,0,0,0,0
1162449,0,367,0,0,0,0,0,0
1162459,0,368,0,0,0,0,0,0
1162469,0,367,0,0,0,0,0,0
1162479,0,367,0,0,0,0,0,0
1162489,0,366,0,0,0,0,0,0
1162499,0,367,0,0,0,0,0,0
1162509,0,367,0,0,0,0,0,0
1162519,0,367,0,0,0,0,0,0
1162529,0,367,0,0,0,0,0,1
1162540,0,366,0,0,0,0,0,0
1162549,0,367,0,0,0,0,0,0
1162559,0,366,0,0,0,0,0,0
1162569,0,366,0,0,0,0,0,0
1162579,0,366,0,0,0,0,0,0
1162589,0,366,0,0,0,0,0,0
1162599,0,366,0,0,0,0,0,0
1162609,0,368,0,1,0,0,0,0
1162619,0,366,0,0,0,0,0,1
1162629,0,366,0,0,0,0,0,1
1162639,0,366,0,0,0,0,0,1
1162649,0,368,0,1,0,0,0,0
1162659,0,367,0,0,0,0,0,0
1162669,0,366,0,0,0,0,0,0
1162679,0,366,0,0,0,0,0,0
1162689,0,366,0,0,0,0,0,1
1162699,0,367,0,0,0,0,0,0
1162710,0,367,0,0,0,0,0,0
1162719,0,367,0,0,0,0,0,0
1162729,0,367,0,0,0,0,0,0
1162739,0,367,0,0,0,0,0,2
1162749,0,367,0,0,0,0,0,0
1162759,0,367,0,0,0,0,0,0
1162769,0,367,0,0,0,0,0,0
1162779,0,367,2,0,0,0,0,1
1162789,0,367,0,0,0,0,0,0
1162799,0,368,0,0,0,0,0,0
1162809,0,368,0,0,0,0,0,3
1162819,0,368,0,0,0,0,0,0
1162829,0,368,0,0,0,0,0,0
1162839,0,368,0,0,0,0,0,0
1162849,0,368,0,0,0,0,0,0
1162859,0,369,0,0,0,0,0,0
1162869,0,369,0,0,0,0,0,0
1162880,0,369,0,0,0,0,0,0
1162889,0,369,0,0,0,0,0,0
1162899,0,369,0,0,0,0,0,0
1162909,0,368,0,0,0,0,0,0
1162919,0,369,0,0,0,0,0,0
1162929,1,372,1,0,0,0,4,0
1162939,0,369,0,0,0,0,0,0
1162949,0,369,0,0,0,0,0,0
1162959,0,369,0,0,0,0,0,0
1162969,0,369,0,0,0,0,0,0
1162979,0,369,0,0,0,0,0,0
1162989,0,369,0,0,0,0,0,0
1162999,1,373,1,1,0,0,3,0
1163009,0,369,0,0,0,0,0,0
1163019,0,370,0,0,0,0,0,0
1163029,0,370,0,0,0,0,0,0
1163039,0,370,0,0,0,0,0,0
1163049,0,370,0,0,0,0,0,0
1163059,0,370,0,0,0,0,0,0
1163069,0,374,1,0,0,1,0,0
1163079,0,370,0,0,0,0,0,0
1163089,0,370,0,0,0,0,0,0
1163099,0,370,0,0,0,0,0,0
1163109,0,371,0,0,0,0,0,0
1163119,0,371,0,0,0,0,0,0
1163129,0,371,0,0,0,0,0,0
1163139,1,374,0,0,0,0,0,0
1163149,0,371,0,0,0,0,0,0
1163159,3,370,0,0,0,2,0,0
1163169,0,371,0,0,0,0,0,0
1163180,0,371,0,0,0,0,0,0
1163189,0,371,0,0,0,0,0,0
