Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
3255729,0,0,0,0,0,497,0,0
3255739,0,0,0,3,0,497,0,0
3255749,0,0,0,0,0,497,0,0
3255759,0,0,0,0,0,497,0,0
3255769,0,0,0,0,0,496,0,0
3255779,0,0,0,0,0,496,0,0
3255789,0,0,0,0,0,496,0,0
3255799,0,0,0,0,0,495,0,0
3255809,0,1,0,1,0,494,0,0
3255819,0,0,0,0,0,493,0,0
3255829,0,0,0,0,0,492,0,0
3255839,0,0,0,0,0,491,0,0
3255849,0,0,0,0,0,491,0,0
3255859,0,0,0,0,0,491,0,0
3255869,0,0,0,0,0,491,0,0
3255879,1,1,0,0,0,492,0,0
3255889,0,0,0,0,0,493,0,0
3255899,0,0,0,0,0,493,0,0
3255909,0,0,0,0,0,493,0,0
3255919,2,0,0,0,0,493,0,0
3255929,0,2,0,0,0,493,0,0
3255939,0,0,0,0,0,493,0,0
3255949,0,2,0,0,0,492,0,0
3255959,0,0,0,0,0,494,0,0
3255969,0,0,0,0,0,494,0,0
3255980,0,2,0,0,0,492,0,0
3255989,0,2,0,0,0,493,0,0
3255999,0,0,0,0,0,493,0,0
3256009,0,0,0,0,0,493,0,0
3256019,0,0,0,0,0,494,0,0
3256029,0,0,0,0,0,494,0,0
3256039,0,0,0,0,0,495,0,0
3256049,0,0,0,0,0,495,0,0
3256059,0,0,0,0,0,495,0,0
3256069,0,0,0,0,0,495,0,0
3256079,0,0,0,0,0,495,0,0
3256089,0,0,0,0,0,495,0,0
3256099,1,2,0,0,0,495,0,0
3256109,0,0,0,0,0,495,0,0
3256119,0,0,0,0,0,495,0,0
3256129,0,0,0,0,0,495,0,0
3256139,0,0,0,0,0,495,0,0
3256150,0,0,0,0,0,495,0,0
3256159,0,0,0,0,0,495,0,0
3256169,0,0,0,0,0,495,0,0
3256179,0,0,0,0,0,495,0,0
3256189,0,0,0,0,0,496,0,0
3256199,0,0,0,0,0,496,0,0
3256209,0,0,0,0,0,497,0,0
3256219,0,0,0,0,0,498,0,0
3256229,1,0,0,0,0,498,0,0
3256239,0,0,0,0,0,498,0,0
3256249,0,0,0,0,0,498,3,1
3256259,0,0,0,0,0,498,0,0
3256269,0,0,0,0,0,499,0,0
3256279,0,0,0,0,0,498,0,0
3256289,0,0,0,0,0,497,0,0
3256299,0,0,0,0,0,498,0,0
3256309,0,0,0,0,0,497,0,0
3256320,0,0,0,0,0,498,0,1
3256329,0,0,0,0,0,497,0,0
