Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
2366709,0,0,0,532,0,0,0,0
2366720,0,0,0,532,0,0,0,0
2366729,1,1,1,535,0,3,0,0
2366739,0,0,0,531,0,0,2,0
2366749,0,0,2,531,0,0,0,0
2366759,0,0,2,530,0,0,0,0
2366769,0,0,1,531,0,0,0,0
2366779,0,0,0,531,0,0,0,0
2366789,0,0,0,531,0,0,0,0
2366799,0,0,0,531,0,0,0,0
2366809,0,0,0,532,0,0,0,0
2366819,0,0,0,532,0,0,0,1
2366829,0,0,0,532,0,0,0,0
2366839,0,0,0,532,0,0,0,0
2366849,0,0,0,532,0,0,0,0
2366859,0,0,0,532,0,0,0,0
2366869,0,0,0,531,0,0,0,0
2366879,0,0,0,531,0,0,0,0
2366889,0,0,0,531,0,0,0,0
2366899,0,0,0,531,0,0,0,0
2366909,0,0,0,530,0,0,0,0
2366919,0,1,2,530,0,0,0,0
2366929,0,0,0,531,0,0,0,0
2366939,0,0,0,531,0,0,0,0
2366949,0,0,0,531,0,0,0,0
2366959,0,0,0,531,0,0,0,0
2366969,0,0,0,531,0,0,0,0
2366979,0,0,0,531,0,0,0,0
2366989,0,0,0,531,0,0,0,0
2366999,0,1,0,533,0,0,0,1
2367009,0,0,0,531,0,0,0,1
2367020,0,0,0,531,0,0,0,1
2367029,0,0,0,530,0,0,0,0
2367039,0,0,0,531,0,0,0,0
2367049,0,0,0,531,0,0,0,0
2367059,1,0,0,534,1,0,0,0
2367069,0,0,0,531,0,0,0,0
2367079,0,0,0,532,0,0,0,0
2367089,0,0,0,532,0,0,0,0
2367099,0,0,0,532,0,0,0,0
2367109,0,0,0,534,0,0,0,0
2367119,0,0,0,532,0,0,0,0
2367129,0,0,0,532,0,0,0,0
2367139,0,0,0,532,0,0,0,0
2367149,0,0,0,533,0,0,0,0
2367159,0,0,0,533,0,0,0,0
2367169,0,0,0,533,0,0,0,0
2367179,0,0,0,534,0,0,0,0
2367190,0,0,0,532,0,0,0,0
2367199,0,0,0,533,0,0,0,0
2367209,0,0,0,533,0,0,0,0
2367219,0,0,0,533,0,0,0,0
2367229,0,0,0,533,0,0,0,0
2367239,0,0,0,534,0,0,0,0
2367249,0,0,0,533,0,0,0,0
2367259,4,0,1,536,1,0,0,0
2367269,0,0,0,533,0,0,0,0
2367279,0,0,0,534,0,0,0,0
2367289,0,0,0,534,0,0,0,0
2367299,0,0,0,534,0,0,0,0
2367309,0,0,0,534,0,0,0,0
2367319,1,0,0,537,1,0,1,0
2367329,0,0,0,534,0,0,0,0
2367339,0,0,0,534,0,0,0,0
2367349,0,0,0,534,0,0,0,0
2367360,0,0,0,534,0,0,0,0
2367369,0,0,0,537,0,0,0,0
2367379,0,0,0,536,0,0,0,0
2367389,1,0,0,536,0,0,0,0
2367399,0,0,0,534,0,0,0,0
2367409,0,0,0,534,0,0,0,0
2367419,0,0,0,534,0,0,0,0
2367429,0,0,0,534,0,0,0,0
2367439,0,0,0,536,1,0,0,0
2367449,0,0,0,534,0,0,0,0
2367459,0,0,0,534,0,0,0,0
2367469,0,0,0,534,0,0,0,0
2367479,0,0,0,534,0,0,0,0
2367489,0,0,0,534,0,0,0,0
2367499,0,0,0,534,0,0,0,0
2367509,1,0,0,536,2,0,0,0
2367519,0,0,0,534,0,0,0,0
2367529,0,0,0,534,0,0,0,0
2367539,0,0,0,534,0,0,0,0
2367549,0,0,0,534,0,0,0,0
2367559,0,0,0,534,0,0,0,0
2367569,0,0,0,534,0,0,0,0
2367579,0,0,0,534,0,0,0,0
2367589,1,0,0,537,2,0,0,0
2367599,0,0,0,535,0,0,0,0
2367609,0,0,0,535,0,0,0,0
2367619,0,0,0,535,0,0,0,0
2367629,0,0,0,535,0,0,0,0
2367639,1,4,0,538,2,0,0,0
2367649,1,0,1,538,0,1,0,3
2367660,0,0,0,535,0,0,0,0
2367669,0,0,0,535,0,0,0,0
2367679,0,0,0,535,0,0,0,0
2367689,0,0,0,536,0,0,0,0
2367699,0,0,0,535,0,0,0,0
2367709,0,0,0,536,0,0,0,0
2367719,1,4,0,538,0,0,0,0
2367729,0,0,0,535,0,0,0,0
2367739,0,0,0,535,0,0,0,0
2367749,0,0,0,535,0,0,0,0
2367759,0,0,0,535,0,0,0,0
2367769,1,0,0,538,1,1,1,1
2367779,0,0,0,535,0,0,0,0
2367789,0,0,0,535,0,0,0,0
2367799,1,3,0,535,0,0,2,0
2367809,0,0,0,535,0,0,0,0
2367819,0,0,0,534,0,0,0,0
2367830,0,0,0,535,0,0,0,0
2367839,0,0,0,534,0,0,0,0
2367849,0,0,0,534,0,0,0,0
2367859,0,0,0,534,0,0,0,0
2367869,0,0,0,535,0,0,0,0
2367879,0,0,0,535,0,0,0,0
2367889,0,0,0,535,0,0,0,0
2367899,0,0,0,535,0,0,0,0
2367909,0,0,0,535,0,0,0,0
2367919,0,0,0,535,0,0,0,0
2367929,0,0,0,535,0,0,0,0
2367939,0,0,0,535,0,0,0,0
2367949,0,0,0,535,0,0,0,0
2367959,0,0,0,535,0,0,0,0
2367969,0,0,0,535,0,0,0,0
2367979,0,0,0,535,0,0,0,0
2367989,0,0,0,535,0,0,0,0
2368000,0,0,0,535,0,0,0,0
2368009,0,0,0,536,0,0,0,0
2368019,1,0,0,540,0,0,0,0
2368029,0,0,0,536,0,0,0,0
2368039,0,0,0,536,0,0,0,0
2368049,0,0,0,536,0,0,0,0
2368059,0,0,0,535,0,0,0,0
2368069,0,0,0,536,0,0,0,0
2368079,0,0,0,536,0,0,0,0
2368089,0,0,0,539,1,0,0,0
