Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
3049409,3,0,0,447,0,1,0,0
3049419,0,0,0,447,0,0,0,0
3049430,0,0,0,448,0,0,0,0
3049439,1,0,0,448,0,0,0,0
3049449,0,0,0,448,0,0,0,0
3049459,0,0,0,447,0,0,0,0
3049469,0,0,0,448,0,0,0,0
3049479,0,0,0,448,0,0,0,0
3049489,0,0,0,448,0,0,0,0
3049499,0,0,0,448,0,0,0,0
3049509,0,0,0,448,0,0,0,0
3049519,0,0,0,449,0,0,0,0
3049529,1,0,0,449,0,0,0,0
3049539,0,0,0,449,0,0,0,0
3049549,0,0,0,449,0,0,0,0
3049559,0,0,0,449,0,0,0,0
3049569,0,0,0,449,0,0,0,0
3049579,1,2,0,449,4,0,0,0
3049589,0,0,0,449,0,0,0,0
3049600,0,0,0,449,1,0,0,0
3049609,0,0,0,449,1,0,0,0
3049619,0,0,0,450,1,0,0,0
3049629,0,0,0,450,1,0,0,0
3049639,0,0,0,450,1,0,0,0
3049649,0,0,0,450,2,0,0,0
3049659,0,0,0,450,2,0,0,0
3049669,0,0,0,450,2,0,0,0
3049679,0,0,0,450,1,0,0,0
3049689,0,0,0,451,2,0,0,0
3049699,1,4,0,451,2,0,0,0
3049709,0,0,0,451,2,0,0,0
3049719,0,0,0,452,2,0,0,0
3049729,0,0,0,453,2,0,0,0
3049739,0,0,0,453,2,0,0,0
3049749,0,0,0,450,2,0,0,0
3049759,0,0,0,449,2,0,0,0
3049769,0,0,0,449,4,0,0,0
3049779,0,0,0,449,4,0,0,0
3049789,1,3,0,449,2,0,0,0
3049799,0,0,0,449,2,0,0,0
3049809,0,0,0,449,2,0,0,0
3049819,0,0,0,449,3,0,0,0
3049829,0,0,0,449,1,0,0,0
3049839,1,1,0,449,0,1,0,0
3049849,0,0,0,450,1,0,0,0
3049859,0,0,0,449,1,0,0,0
3049869,0,0,0,449,1,0,0,0
3049879,1,1,0,449,1,0,0,0
3049889,0,0,0,449,1,0,0,0
3049900,0,0,0,450,1,0,0,0
3049909,1,1,0,449,0,0,0,0
3049919,0,0,0,449,1,0,0,0
3049929,0,0,0,449,0,0,0,0
3049939,0,0,0,449,1,0,0,0
3049949,0,0,0,449,1,0,0,0
3049959,1,1,1,452,1,3,0,0
3049969,0,0,0,449,1,0,0,0
3049979,0,0,0,450,1,1,0,0
3049989,0,0,0,449,1,1,0,0
3049999,0,0,0,450,1,1,0,0
3050009,0,0,0,450,1,1,0,0
