Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
784329,0,0,0,0,0,0,0,747
784339,0,0,0,0,0,0,0,747
784349,1,0,0,1,3,0,0,747
784359,0,0,0,0,0,0,0,747
784369,0,0,0,0,0,0,1,750
784379,0,0,0,0,0,0,1,750
784389,0,0,0,0,0,0,1,750
784399,1,1,0,0,1,0,0,746
784409,0,0,0,0,0,0,0,747
784419,0,0,0,0,0,0,0,747
784429,0,0,0,0,0,0,0,747
784439,0,0,0,0,0,0,0,747
784449,0,0,0,0,0,0,0,747
784459,0,0,0,0,0,0,0,747
784470,1,1,1,0,0,0,0,747
784479,0,0,0,0,0,0,0,747
784489,0,0,0,0,0,0,0,747
784499,0,0,0,0,0,0,0,747
784509,0,0,0,0,0,0,0,747
784519,0,0,0,0,0,0,0,747
784529,0,0,0,0,0,0,0,747
784539,1,1,1,0,0,2,0,747
784549,0,0,0,0,0,0,0,750
784559,0,0,0,0,0,0,0,747
784569,0,0,0,0,0,0,0,747
784579,0,0,0,0,0,0,0,747
784589,0,0,0,0,0,0,0,747
784599,0,0,0,0,0,0,0,750
784609,1,1,0,0,0,3,0,747
784619,0,0,0,0,0,0,0,747
784629,0,0,0,0,0,0,1,750
784640,0,0,0,0,0,0,0,750
784649,1,0,0,0,0,0,0,748
784659,0,0,0,0,0,1,0,747
784669,0,0,0,0,0,0,0,747
784679,1,1,1,0,0,4,0,746
784689,1,0,1,0,1,4,0,746
784699,0,0,0,0,0,0,0,746
784709,0,0,0,0,0,0,0,747
784719,0,0,0,0,0,0,0,747
784729,0,0,0,0,0,0,0,747
784739,0,0,0,0,0,0,0,747
784749,1,0,0,1,0,3,0,747
784759,0,0,0,0,0,0,0,747
784769,0,0,0,0,0,0,0,747
784779,0,0,0,0,0,0,0,747
784789,0,0,0,0,0,0,0,747
784799,0,0,0,0,0,0,0,747
784809,0,0,0,0,0,0,0,747
784819,1,0,0,1,0,0,0,747
784829,0,0,0,0,0,0,0,747
784839,0,0,0,0,0,0,0,747
784849,0,3,0,0,0,0,0,747
784859,0,0,0,0,0,0,0,747
784869,0,0,0,0,0,0,0,747
784879,0,0,0,0,0,0,0,747
784889,1,1,0,1,0,1,0,747
784899,0,0,0,0,0,0,0,753
784909,0,0,2,0,0,0,0,747
784919,0,0,2,0,0,0,0,746
784929,0,0,2,0,0,0,0,747
784940,0,0,0,1,0,0,0,747
784949,0,0,0,1,0,0,0,746
784959,1,1,0,1,0,1,3,746
784969,0,0,0,0,0,0,0,747
784979,0,0,0,0,0,0,0,747
784989,0,0,0,0,0,0,0,748
784999,0,0,0,0,0,0,0,748
785009,0,0,0,2,0,0,0,747
785019,0,0,0,0,0,0,0,747
785029,0,0,0,0,0,0,0,747
785039,0,0,0,0,0,0,0,748
785049,0,0,0,0,0,0,0,747
785059,0,0,0,0,0,0,0,748
785069,0,0,0,0,0,0,0,748
785079,0,0,0,0,0,0,0,748
785089,0,0,0,0,0,0,0,747
785099,0,0,0,0,0,0,0,747
785110,0,0,0,0,0,0,0,747
785119,0,0,0,0,0,0,0,747
785129,0,0,0,0,0,0,0,749
785139,0,0,0,0,0,0,0,748
785149,0,0,0,0,0,0,0,747
785159,0,0,0,0,0,0,0,747
785169,0,0,0,0,0,0,0,747
785179,0,0,0,0,0,0,0,748
785189,0,0,0,0,0,0,0,749
785199,0,0,0,0,0,0,0,748
785209,0,0,0,0,0,0,0,747
785219,0,0,0,0,0,0,0,747
785229,0,0,0,0,0,0,0,747
785239,4,0,3,0,0,0,0,747
785249,0,0,0,0,0,0,0,748
785259,0,0,0,0,0,0,0,747
785269,0,0,0,0,0,0,0,747
785280,0,0,0,0,0,0,0,748
785289,0,0,0,0,0,0,0,747
785299,0,0,0,0,0,0,0,747
785309,0,0,0,0,0,0,0,747
785319,0,0,0,0,0,0,0,747
785329,0,0,0,0,0,0,0,748
785339,0,0,0,0,0,0,0,747
785349,0,0,0,0,0,0,0,748
785359,0,0,0,0,0,0,0,747
785369,0,0,0,0,0,0,0,747
785379,0,0,0,0,0,0,0,747
785389,0,0,0,0,0,0,0,748
785399,0,0,0,0,0,0,0,747
785409,0,0,0,0,0,0,0,748
785419,0,0,0,0,0,0,0,748
785429,0,0,0,0,0,0,0,747
785439,0,0,0,0,0,0,0,747
785449,1,0,0,0,2,0,0,747
785459,1,0,0,1,2,0,0,747
785469,1,0,0,1,2,0,0,747
785479,0,0,0,0,0,0,0,747
785489,0,0,0,0,0,0,0,748
785499,0,0,0,0,0,0,0,747
785509,0,0,0,0,0,0,0,748
785519,0,0,0,0,0,0,0,747
785529,0,0,0,0,0,0,0,747
785539,0,0,0,0,0,0,0,748
785549,1,3,0,2,1,0,0,747
785559,0,0,0,0,0,0,0,748
785569,0,0,0,0,0,0,0,748
785580,0,0,0,0,0,0,0,748
785589,0,0,0,0,0,0,0,748
785599,1,4,0,1,0,0,0,747
785609,0,0,0,0,0,0,0,748
785619,0,0,0,0,0,0,0,747
785629,0,0,0,0,0,0,0,748
785639,0,0,0,0,0,0,0,748
785649,0,0,0,0,0,0,0,748
785659,0,0,0,0,0,0,0,748
785669,0,0,0,0,0,0,0,748
785679,0,0,0,0,0,0,0,748
785689,0,0,0,0,0,0,0,747
785699,0,0,0,0,0,0,0,748
785709,0,0,0,0,0,0,0,747
785719,0,0,0,0,0,0,0,747
785729,0,0,0,0,0,0,0,747
785739,0,0,0,0,0,0,0,748
785750,0,0,0,0,0,0,0,748
785759,1,0,1,1,0,0,0,750
785769,0,0,0,0,0,0,0,747
785779,0,0,0,0,0,0,0,747
785789,0,0,0,0,0,0,0,747
785799,0,0,0,0,0,0,0,748
785809,0,0,0,0,0,0,0,748
785819,0,0,0,0,0,0,0,748
785829,0,0,0,0,0,0,0,747
785839,1,1,0,0,0,2,0,747
785849,0,0,0,0,0,0,0,748
785859,0,0,0,0,0,0,0,748
785869,0,0,0,0,0,0,0,748
785879,0,0,0,0,0,0,0,748
785889,1,1,2,0,1,2,0,748
785899,0,0,0,0,0,0,0,748
785909,0,0,0,0,0,0,0,748
785920,0,0,0,0,0,0,0,748
785929,1,0,0,0,0,0,0,749
785939,0,0,0,0,0,0,0,748
785949,1,0,0,0,0,0,0,748
785959,0,0,0,0,0,0,0,747
785969,0,0,0,0,0,0,0,747
785979,0,0,0,0,0,0,0,747
785989,0,0,0,0,0,0,0,747
785999,0,0,0,0,0,0,0,747
786009,0,0,0,0,0,0,0,747
786019,0,0,0,0,0,0,0,747
786029,0,0,0,0,0,0,0,748
786039,1,1,4,0,1,0,0,747
786049,0,0,0,0,0,0,0,748
786059,0,0,0,0,0,0,0,748
786069,0,0,0,0,0,0,0,748
786079,0,0,0,0,0,0,0,748
786089,1,1,3,0,0,0,1,748
786099,0,0,0,0,0,0,0,748
786109,1,1,1,0,1,1,0,750
786119,0,0,0,0,0,0,0,747
786129,0,0,0,0,0,0,0,748
786139,0,0,0,0,0,0,0,748
786149,2,0,1,0,1,0,0,750
786159,0,0,0,0,0,0,0,748
786169,0,0,0,0,0,0,0,748
786179,0,0,0,0,0,0,0,748
786189,0,0,0,0,0,0,0,748
786199,0,0,0,0,0,0,0,748
786209,0,0,0,0,0,0,0,748
786220,2,1,1,1,1,0,1,751
786229,1,0,1,0,0,1,0,749
786239,0,0,0,0,0,0,0,747
786249,0,0,0,0,0,0,0,748
786259,0,0,0,0,0,0,0,748
786269,0,0,0,0,0,0,0,747
786279,0,0,0,0,0,0,0,747
786289,0,0,0,0,0,0,0,747
786299,0,0,0,0,0,0,0,747
786309,0,0,0,0,0,0,0,748
786319,0,0,0,0,0,0,0,748
786329,0,0,0,0,0,0,0,748
786339,0,0,0,0,0,0,0,748
786349,0,0,0,0,0,0,0,748
786359,1,1,1,0,0,1,0,751
786369,0,0,0,0,0,0,0,748
786379,0,0,0,0,0,0,0,748
786390,0,0,0,0,0,0,0,748
786399,0,0,0,0,0,0,0,748
786409,0,0,0,0,0,0,0,748
786419,0,0,0,0,0,0,0,748
786429,2,1,0,1,0,1,0,751
786439,2,1,1,4,0,0,0,745
786449,0,0,0,0,0,0,0,748
786459,0,0,0,0,0,0,0,748
786469,0,0,0,0,0,0,0,748
786479,0,0,0,0,0,0,0,748
786489,2,1,1,3,0,0,0,749
786499,3,1,0,1,0,1,0,751
786509,0,0,0,0,0,0,0,748
786519,5,1,0,1,0,0,0,748
786529,4,1,1,1,0,0,0,748
786539,2,1,1,0,0,0,0,748
786549,0,0,0,0,0,0,0,748
786560,0,0,0,0,0,0,0,748
786569,0,1,0,0,1,0,0,751
786579,1,1,0,0,1,1,0,750
786589,0,0,0,0,0,0,0,747
786599,0,0,0,0,0,0,0,748
786609,0,0,0,0,0,0,0,748
786619,0,0,0,0,0,0,0,748
786629,0,0,0,0,0,0,0,748
786639,0,0,0,0,0,0,1,748
786649,0,0,0,0,0,0,0,748
786659,0,0,0,0,0,0,0,748
786669,0,0,0,0,0,0,0,748
786679,0,0,0,0,0,0,0,748
786689,0,0,0,0,0,0,0,748
