Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
2874419,0,0,0,0,0,563,0,0
2874429,0,0,0,0,0,563,0,0
2874439,0,0,0,0,0,563,0,0
2874449,0,0,0,0,0,563,0,0
2874459,0,0,0,0,0,563,0,0
2874469,0,0,0,0,0,562,0,0
2874479,0,0,0,0,0,563,0,0
2874489,0,0,0,0,0,562,0,0
2874499,0,0,0,0,0,562,0,0
2874509,1,1,4,0,0,562,0,0
2874519,0,0,0,1,1,565,1,1
2874529,0,0,0,0,1,565,1,2
2874540,0,0,0,1,1,565,1,0
2874549,1,1,4,0,0,562,0,0
2874559,0,0,0,0,0,562,0,0
2874569,0,0,0,0,0,562,0,0
2874579,0,0,0,0,0,563,0,0
2874589,0,0,0,0,0,562,0,0
2874599,0,0,0,0,0,562,0,0
2874609,0,0,0,0,0,562,0,0
2874619,1,1,3,0,0,562,0,0
2874629,0,0,0,0,0,561,0,0
2874639,0,0,0,0,0,561,0,0
2874649,0,0,0,0,0,561,0,0
2874659,0,0,0,0,0,561,0,0
2874669,0,0,0,0,0,561,0,0
2874679,0,0,0,0,0,561,0,0
2874689,1,1,1,0,0,561,0,0
2874699,0,0,0,0,0,561,0,0
2874710,0,0,0,0,0,561,0,0
2874719,0,0,0,0,0,561,0,0
2874729,0,0,0,0,3,564,1,3
2874739,0,0,0,0,0,561,0,0
2874749,0,0,0,0,0,562,0,0
2874759,1,1,1,0,0,561,0,0
2874769,0,0,0,0,0,561,0,0
2874779,0,0,0,0,0,562,0,0
2874789,0,0,0,0,4,564,1,1
2874799,0,0,0,0,3,564,1,1
2874809,0,0,0,0,1,564,1,1
2874819,0,0,0,0,0,561,0,0
2874829,1,0,1,2,0,562,0,0
2874839,0,0,0,0,0,561,0,0
2874849,0,0,0,0,0,562,0,0
2874859,0,0,0,0,0,562,0,0
2874869,0,0,0,0,0,562,0,0
2874880,0,0,1,0,0,563,0,0
2874889,0,0,0,0,0,563,0,0
2874899,1,1,1,4,0,561,0,0
2874909,0,0,0,0,0,562,0,0
2874919,0,0,0,0,0,563,0,0
2874929,0,0,0,0,0,562,0,0
2874939,0,0,0,0,0,563,0,0
2874949,0,0,0,0,0,563,0,0
2874959,0,0,0,0,0,563,0,0
2874969,1,1,1,6,0,563,0,0
2874979,1,1,1,4,0,562,0,0
2874989,0,0,0,0,0,562,0,0
2874999,3,0,0,0,0,563,0,0
2875009,0,0,0,0,0,563,0,0
2875019,1,1,1,3,0,563,0,0
2875029,1,0,0,0,0,563,0,0
2875039,1,0,0,0,0,563,0,0
2875049,0,0,0,0,0,563,0,0
2875059,0,0,0,0,0,563,0,0
2875069,0,0,0,0,0,564,0,0
2875079,0,0,0,0,0,564,0,0
2875089,2,0,0,0,0,568,0,1
2875099,2,0,0,0,0,568,0,1
2875109,0,0,0,0,0,564,0,0
2875119,0,0,0,0,0,564,0,0
2875129,0,0,0,0,0,564,0,0
2875139,0,0,0,0,0,569,1,1
2875149,0,0,0,0,0,564,0,0
2875159,0,0,0,0,0,564,0,0
2875169,0,0,0,0,0,564,0,0
2875180,0,0,0,0,0,565,0,0
2875189,0,0,0,0,0,564,0,0
2875199,0,0,0,0,0,564,0,0
2875209,0,0,0,0,0,564,0,0
2875219,0,0,0,0,0,565,0,0
2875229,1,2,0,0,0,564,0,0
2875239,0,0,0,0,0,564,0,0
2875249,0,0,0,0,0,565,0,0
2875259,0,0,0,0,0,565,0,0
2875269,1,2,0,0,0,565,0,0
2875279,0,0,0,0,0,565,0,0
2875289,0,0,0,0,0,565,0,0
2875299,1,2,0,0,0,565,0,0
2875309,1,2,0,0,0,564,0,0
2875319,1,0,0,0,0,564,0,0
2875329,1,4,0,0,0,564,0,0
2875339,0,0,0,0,0,565,0,0
2875350,0,0,0,0,0,565,0,0
2875359,0,0,0,0,0,564,0,0
2875369,0,0,0,0,0,565,0,0
2875379,0,0,0,0,0,565,1,1
2875389,0,0,0,0,0,565,0,0
2875399,0,0,0,0,0,565,0,0
2875409,0,0,0,0,0,565,0,0
2875419,0,0,0,0,0,565,0,0
2875429,0,0,0,0,0,565,0,0
2875439,0,0,0,0,0,565,0,0
2875449,0,0,0,0,0,565,0,0
2875459,0,0,0,0,0,565,0,0
2875469,0,0,0,0,0,565,0,0
2875479,0,0,0,0,0,565,0,0
2875489,0,0,0,0,0,565,0,0
2875499,0,0,0,0,0,565,0,0
2875509,0,0,0,0,0,565,0,0
2875520,0,0,0,0,0,564,0,0
2875529,0,0,0,0,0,565,0,0
2875539,0,0,0,0,0,564,0,0
2875549,0,0,0,0,0,564,0,0
2875559,0,0,0,0,0,564,0,1
2875569,0,0,0,0,0,564,0,0
2875579,0,0,0,0,0,564,0,0
2875589,0,0,2,0,0,564,0,0
2875599,1,1,1,1,1,566,0,0
2875609,0,0,1,0,0,563,0,0
2875619,0,0,0,0,0,563,0,0
2875629,0,0,0,0,0,563,0,0
2875639,0,1,2,0,0,564,0,0
2875649,0,0,0,0,0,563,0,0
2875659,0,0,0,0,0,563,0,0
2875669,1,1,1,1,1,565,0,0
2875679,0,0,0,0,0,563,0,0
2875689,0,0,0,0,0,563,0,1
2875699,0,0,0,0,0,563,0,0
2875709,0,0,0,0,0,563,0,0
2875719,0,0,0,0,0,563,0,0
2875729,0,0,0,0,0,563,0,0
2875739,1,1,1,1,1,564,0,0
2875749,0,0,0,0,0,562,0,0
2875759,0,0,0,0,0,562,0,0
2875769,0,2,1,0,0,562,0,0
2875779,0,0,0,0,0,562,0,0
2875789,0,0,0,0,0,562,0,0
2875799,0,0,0,0,0,562,0,0
2875809,1,1,1,0,1,565,0,0
2875820,0,0,0,0,0,562,0,2
2875829,0,2,0,0,0,562,0,0
2875839,0,2,0,0,0,562,0,0
2875849,0,3,1,0,0,562,0,0
2875859,0,0,0,0,0,562,0,0
2875869,0,0,0,0,0,562,0,0
2875879,1,1,0,1,1,565,0,0
2875889,0,0,0,0,0,562,0,0
2875899,0,0,0,0,0,562,0,0
2875909,0,0,0,0,0,562,0,0
2875919,0,0,0,0,0,562,0,0
2875929,0,0,0,2,0,563,0,0
2875939,0,0,0,0,0,563,0,0
2875949,1,0,1,1,1,565,3,0
2875959,0,0,0,0,0,563,0,0
2875969,0,0,0,0,0,563,0,0
2875979,0,0,0,0,0,563,0,0
2875990,0,0,0,0,0,563,0,0
2875999,0,0,0,0,0,563,0,0
2876009,0,0,0,0,0,563,0,0
2876019,1,0,1,1,1,565,4,0
2876029,0,0,0,0,0,563,0,0
2876039,0,0,0,0,0,563,0,0
2876049,0,0,0,0,0,563,0,0
2876059,0,0,0,0,0,564,0,0
2876069,0,0,1,2,0,563,0,0
2876079,0,0,0,0,0,563,0,0
2876089,4,0,1,0,0,562,0,0
2876099,0,0,0,0,0,563,0,0
2876109,0,0,0,0,0,563,0,0
