Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
1810769,0,0,0,0,0,0,0,876
1810779,0,0,0,0,0,0,0,875
1810789,0,0,0,0,0,0,0,875
1810799,0,0,0,0,0,0,0,875
1810809,0,0,0,0,0,0,0,876
1810819,0,0,0,0,0,0,0,875
1810829,0,0,0,0,0,0,0,875
1810839,0,0,0,0,0,0,0,877
1810849,0,0,0,0,0,0,0,875
1810860,0,0,0,0,0,0,0,876
1810869,0,0,0,0,0,0,0,876
1810879,0,0,0,0,0,0,0,876
1810889,0,0,0,0,0,0,0,876
1810899,0,0,0,0,0,0,0,876
1810909,0,0,0,0,0,0,0,876
1810919,0,0,0,0,0,0,0,877
1810929,0,0,0,0,0,0,0,877
1810939,0,0,0,0,0,0,0,877
1810949,0,0,0,0,0,0,0,877
1810959,0,0,0,0,0,0,0,877
1810969,0,0,0,0,0,0,0,877
1810979,0,0,0,0,0,0,0,877
1810989,0,0,0,0,0,0,0,877
1810999,0,0,0,0,0,0,0,877
1811009,0,0,0,0,0,0,0,877
1811019,0,0,0,0,0,0,0,877
1811030,0,0,0,0,0,0,0,878
1811039,0,0,0,0,0,0,0,878
1811049,0,0,0,0,0,0,0,878
1811059,0,0,0,0,0,0,0,878
1811069,0,0,0,0,0,0,0,878
1811079,0,0,0,0,0,0,0,880
1811089,0,0,0,0,0,0,0,879
1811099,0,0,0,0,0,0,0,879
1811109,0,0,0,0,0,0,0,879
1811119,0,0,0,0,0,0,0,880
1811129,0,0,0,0,0,0,0,880
1811139,0,0,0,0,0,0,0,880
1811149,0,0,0,0,0,0,0,880
1811159,0,0,0,0,0,0,0,880
1811169,0,0,0,0,0,0,0,880
1811179,0,0,0,0,0,0,0,881
1811189,0,0,0,0,0,0,0,880
1811200,0,0,0,0,0,0,0,880
1811209,0,0,0,0,0,0,0,880
1811219,0,0,0,0,0,0,0,880
1811229,0,0,0,0,0,0,0,880
1811239,0,0,0,0,0,0,0,879
1811249,0,0,0,0,0,0,0,879
