Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
3573449,0,0,0,0,581,0,0,0
3573459,0,0,0,0,581,0,0,0
3573469,0,0,0,0,581,0,0,0
3573479,0,0,0,0,581,0,0,0
3573489,0,0,0,0,581,0,0,0
3573499,0,0,0,0,581,0,0,0
3573509,0,0,0,0,581,0,0,0
3573519,0,1,3,0,581,0,0,0
3573529,0,0,0,0,581,0,0,0
3573539,0,0,0,0,581,0,0,0
3573549,0,0,0,0,581,0,0,0
3573559,0,0,0,0,581,0,0,0
3573569,0,0,0,0,582,0,0,0
3573579,0,0,0,0,582,0,0,0
3573590,0,0,0,0,582,0,0,0
3573599,0,0,0,0,585,1,0,3
3573609,0,0,0,0,582,0,0,0
3573619,0,0,0,0,582,0,0,0
3573629,0,0,0,0,582,0,0,0
3573639,0,0,0,0,582,0,0,0
3573649,0,0,0,0,586,1,0,4
3573659,0,0,0,0,586,1,0,4
3573669,0,0,0,0,585,1,1,4
3573679,0,0,0,0,582,0,0,0
3573689,0,0,0,0,582,0,0,0
3573699,0,0,0,0,583,0,0,0
3573709,0,0,0,0,583,0,0,0
3573719,0,0,0,0,583,0,0,0
3573729,0,1,0,0,587,1,0,3
3573739,0,0,0,0,588,1,1,3
3573749,0,0,0,0,588,1,1,3
3573760,0,0,0,0,588,1,0,3
3573769,0,0,0,0,588,1,1,1
3573779,0,0,0,0,583,0,0,0
3573789,0,0,0,0,584,0,0,0
3573799,0,0,0,0,583,0,0,0
3573809,0,0,0,0,584,0,0,0
3573819,0,0,0,0,584,0,0,0
3573829,1,0,0,0,583,0,0,0
3573839,0,0,0,0,585,1,1,1
3573849,0,0,0,0,584,0,0,0
3573859,0,0,0,0,583,0,0,0
3573869,0,0,0,0,583,0,0,0
3573879,0,0,0,0,585,1,1,1
3573889,0,0,0,0,584,0,0,0
3573899,0,0,0,0,584,0,0,0
3573909,1,1,0,3,583,0,0,0
3573919,0,0,0,0,584,0,0,0
3573929,0,0,0,0,584,0,0,0
3573939,0,0,0,0,584,0,0,0
3573949,0,0,0,0,584,0,0,0
3573959,0,0,0,0,584,0,0,0
3573969,0,0,0,0,584,0,0,0
3573979,1,1,1,4,583,0,0,0
3573989,1,0,1,4,582,0,0,0
3573999,0,0,0,0,584,1,1,1
3574009,0,0,0,0,583,1,0,1
3574019,0,0,0,0,584,1,1,1
3574029,0,0,0,0,584,0,0,0
3574039,0,0,0,0,584,0,0,0
3574049,1,0,0,1,582,0,0,0
3574060,0,0,0,0,584,0,0,0
3574069,0,0,0,0,584,0,0,0
3574079,0,0,0,0,584,0,0,0
3574089,0,0,0,0,584,0,0,0
3574099,0,0,0,0,584,0,0,0
3574109,0,0,0,0,585,0,0,0
3574119,0,1,1,0,581,0,0,0
3574129,0,0,0,0,584,0,0,0
3574139,0,0,0,0,585,0,0,0
3574149,0,0,0,0,585,0,0,0
3574159,1,0,0,0,586,0,0,0
3574169,0,0,0,0,586,0,0,0
3574179,0,0,0,0,585,3,0,0
3574189,1,1,0,1,587,0,0,0
3574199,0,0,0,0,585,0,0,0
3574209,0,0,0,0,585,0,0,0
3574219,0,0,0,0,585,0,0,0
3574230,0,0,0,0,585,0,0,0
3574239,0,0,0,0,586,0,0,0
3574249,0,0,0,0,586,0,0,0
3574259,0,0,1,0,588,0,0,0
3574269,0,0,0,0,586,0,0,0
3574279,1,1,0,0,586,0,0,0
3574289,0,1,0,0,585,0,0,0
3574299,0,0,0,0,586,0,0,0
3574309,1,0,0,0,585,0,1,1
3574319,0,0,0,0,585,0,1,0
3574329,0,0,0,0,585,0,0,0
3574339,0,0,0,0,585,0,0,0
3574349,0,0,0,0,585,0,0,0
3574359,0,0,0,0,585,0,0,0
3574369,0,0,0,0,585,0,0,0
3574379,1,2,0,0,585,0,0,0
3574389,0,0,0,0,585,0,0,0
3574400,0,0,0,0,585,0,0,0
3574409,0,0,0,0,585,0,0,0
3574419,0,0,0,0,585,0,0,0
3574429,1,1,0,0,585,0,0,0
3574439,0,0,0,0,585,0,0,0
3574449,2,1,0,0,585,0,1,1
3574459,2,2,0,0,585,0,1,1
3574469,0,0,0,0,585,0,0,0
3574479,0,0,0,0,586,0,0,0
3574489,0,0,0,0,586,0,0,0
3574499,0,0,0,0,586,0,0,0
3574509,0,0,0,0,586,0,0,0
