Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
2875549,0,0,0,0,584,0,0,0
2875559,0,1,0,0,588,1,1,0
2875569,0,0,0,0,584,0,0,0
2875579,0,0,0,0,584,0,0,0
2875589,0,1,1,1,588,0,0,2
2875599,0,0,0,0,585,0,0,0
2875609,0,0,0,0,585,0,0,0
2875619,0,0,0,0,585,0,0,0
2875629,0,1,1,0,588,0,1,0
2875639,0,0,0,0,584,0,0,0
2875649,0,0,0,0,584,0,0,0
2875659,0,0,0,0,585,0,0,0
2875669,0,3,1,1,589,0,0,0
2875679,0,0,0,0,585,0,0,0
2875689,0,0,0,0,585,0,0,0
2875699,0,0,1,0,588,1,0,1
2875709,0,0,1,1,587,1,0,0
2875719,0,0,0,0,583,0,0,0
2875729,0,0,1,1,588,0,0,1
2875739,0,0,1,1,588,0,0,0
2875749,0,0,1,1,588,0,0,0
2875759,0,0,0,0,584,0,0,0
2875769,0,0,1,0,588,1,0,0
2875779,0,0,0,0,584,0,0,0
2875789,0,0,0,0,584,0,0,0
2875799,0,0,0,0,584,0,0,0
2875809,0,0,0,0,584,0,0,0
2875820,0,0,1,0,587,1,0,0
2875829,0,0,0,0,584,0,0,0
2875839,0,0,0,0,583,0,0,0
2875849,0,0,0,0,583,0,0,0
2875859,0,0,0,0,583,0,0,0
2875869,0,0,0,0,583,0,0,0
2875879,0,0,0,0,584,0,0,0
2875889,0,0,1,0,587,4,0,1
2875899,0,0,0,0,583,0,0,0
2875909,0,0,0,0,583,0,0,0
2875919,0,0,0,0,583,0,0,0
2875929,0,0,0,0,583,0,0,0
2875939,0,0,2,0,587,4,0,0
2875949,0,0,0,0,583,0,0,0
2875959,0,0,0,0,583,0,0,0
2875969,0,0,2,0,586,3,0,0
2875979,0,0,2,1,586,3,0,0
2875990,0,0,0,0,582,0,0,0
2875999,0,0,0,0,583,0,0,0
2876009,0,0,0,0,582,0,0,0
2876019,0,0,0,0,583,0,0,0
2876029,0,0,0,0,583,0,0,0
2876039,0,0,0,0,582,0,0,0
2876049,0,0,0,0,583,0,0,0
2876059,0,0,0,0,583,0,0,0
2876069,0,0,0,0,582,0,0,0
2876079,0,0,0,0,582,0,0,0
2876089,0,0,0,0,582,0,0,0
2876099,0,0,0,0,582,0,0,0
2876109,0,0,0,0,582,0,0,0
2876119,0,0,0,0,582,0,0,0
2876129,0,0,0,0,582,0,0,0
2876139,0,0,0,0,582,0,0,0
2876149,0,0,0,0,582,0,0,0
2876160,0,0,0,0,582,0,0,0
2876169,0,0,0,1,586,1,4,0
2876179,0,0,0,0,582,0,0,0
2876189,0,0,0,0,582,0,0,0
2876199,0,0,0,0,582,0,0,0
2876209,0,0,0,0,583,0,0,0
2876219,0,0,0,0,582,0,0,0
2876229,0,0,0,1,586,1,4,0
2876239,0,0,0,1,586,1,4,0
2876249,0,0,0,1,586,1,4,0
2876259,0,0,0,0,582,0,0,0
2876269,0,0,0,0,582,0,0,0
2876279,0,0,0,1,586,0,0,1
2876289,0,0,0,0,582,0,0,0
2876299,0,0,0,0,583,0,0,0
2876309,0,0,0,0,583,0,0,0
2876319,0,0,0,0,583,0,0,0
2876329,0,0,0,0,583,0,0,0
2876339,0,0,0,0,583,0,0,0
2876349,0,0,0,2,587,1,0,0
2876359,0,0,0,0,583,0,0,0
2876369,0,0,0,0,583,0,0,0
2876379,0,0,0,3,587,1,1,0
2876389,0,0,0,0,583,0,0,0
2876399,0,0,0,3,585,0,0,0
2876409,0,0,0,0,584,0,0,0
2876419,0,0,0,0,584,0,0,0
2876429,0,0,0,0,587,0,1,0
2876439,0,0,0,0,583,0,0,0
2876449,0,0,0,0,584,0,0,0
2876460,0,0,0,0,584,0,0,0
2876469,0,0,0,0,584,0,0,0
2876479,0,0,0,0,588,1,1,0
2876489,0,0,4,0,584,0,0,0
2876499,0,0,0,0,584,0,0,0
2876509,0,0,0,0,588,0,1,4
2876519,0,0,0,0,588,1,0,4
2876529,0,0,0,0,588,0,0,4
2876539,0,0,0,0,588,1,0,1
2876549,0,0,0,0,588,0,0,4
2876559,0,0,0,0,584,0,0,0
2876569,0,0,0,0,585,0,0,0
2876579,0,0,0,0,585,0,0,0
2876589,0,0,0,0,585,0,0,0
2876599,0,0,0,0,585,0,0,0
2876609,0,0,0,0,584,0,0,0
2876619,0,0,0,0,585,0,0,0
2876630,0,0,0,0,585,0,0,0
2876639,0,0,0,0,585,0,0,0
2876649,0,0,0,0,585,0,0,0
2876659,0,0,0,0,585,0,0,0
2876669,0,0,0,0,585,0,0,0
2876679,0,0,0,0,590,1,1,6
2876689,0,0,0,0,585,0,0,0
2876699,0,0,0,0,585,0,0,0
2876709,0,0,0,0,585,0,0,0
2876719,0,0,0,0,585,0,0,0
2876729,0,0,0,0,591,1,0,1
2876739,0,0,0,0,585,0,0,0
2876749,0,0,0,0,585,0,0,0
2876759,0,0,0,0,590,1,1,1
2876769,0,0,0,0,587,1,1,1
2876779,0,0,0,0,587,1,0,1
2876789,0,0,0,0,588,1,1,1
2876800,0,0,0,0,589,1,0,0
2876809,0,0,0,0,586,0,0,0
2876819,0,0,0,0,586,0,0,0
2876829,0,0,0,0,587,0,0,0
2876839,0,0,0,0,587,0,0,0
2876849,0,0,0,0,587,0,0,0
2876859,0,0,0,0,587,0,0,0
2876869,0,0,0,0,587,0,0,0
2876879,0,0,0,0,587,0,0,0
2876889,0,0,0,0,587,0,0,0
2876899,0,0,0,0,587,0,0,0
2876909,0,0,0,0,586,0,0,0
2876919,0,0,0,0,586,0,0,0
2876929,0,0,0,0,587,0,0,0
2876939,0,0,0,0,586,0,0,0
2876949,0,0,0,0,586,0,0,0
2876959,0,0,0,0,587,1,1,0
2876969,0,0,0,0,586,0,0,0
2876979,0,0,0,0,586,0,0,0
2876989,0,0,0,0,586,0,0,0
2876999,0,0,0,0,586,0,0,0
2877009,1,1,0,0,583,0,0,0
2877019,0,0,0,0,584,0,0,0
2877029,0,0,0,0,584,0,0,0
2877039,0,0,0,0,584,0,0,0
2877049,0,0,0,0,584,0,0,0
2877059,0,0,0,0,584,0,0,0
2877069,0,0,0,0,585,0,0,0
2877079,0,0,0,0,584,0,0,0
2877089,0,0,0,0,584,0,0,0
2877100,0,0,0,0,584,2,1,0
2877109,0,0,0,0,584,0,0,0
2877119,0,0,0,0,584,0,0,0
2877129,0,0,0,0,584,0,0,0
2877139,0,0,0,0,584,0,0,0
2877149,0,0,0,0,584,0,0,0
2877159,0,0,0,0,584,0,0,0
2877169,0,0,0,0,584,0,0,0
2877179,0,0,0,0,584,0,0,0
2877189,0,0,0,0,584,0,0,0
2877199,0,0,0,0,583,0,0,0
2877209,0,0,0,0,584,0,0,0
2877219,0,0,0,0,584,0,0,0
2877229,0,0,0,0,584,0,0,0
2877239,0,0,0,0,584,0,0,0
2877249,0,0,0,0,584,0,0,0
2877259,0,0,0,0,584,0,0,0
2877270,0,0,0,0,583,0,0,0
2877279,1,0,0,0,584,0,1,0
2877289,0,0,0,0,583,0,1,1
2877299,0,0,0,0,583,0,1,1
2877309,0,0,0,0,583,0,1,1
2877319,0,0,0,0,583,0,0,0
2877329,0,0,0,0,583,0,0,0
2877339,0,0,0,0,583,0,0,0
2877349,0,0,0,0,583,0,0,0
2877359,0,0,0,0,584,0,0,0
2877369,0,0,0,0,583,0,0,0
2877379,0,0,0,0,583,0,0,0
2877389,0,0,0,0,583,0,0,0
2877399,0,0,0,0,583,0,0,0
2877409,0,0,0,0,583,0,0,0
2877419,0,0,0,0,583,0,0,0
2877429,0,0,0,0,584,0,0,0
2877440,0,0,0,0,584,0,0,0
2877449,1,0,1,0,587,0,0,0
2877459,0,0,0,0,584,0,0,0
2877469,0,0,0,0,584,0,0,0
2877479,0,0,0,0,584,0,0,0
2877489,0,0,1,0,584,0,0,0
2877499,0,0,0,0,584,0,0,0
2877509,0,0,0,0,584,0,0,0
2877519,1,0,0,1,588,3,0,0
2877529,0,0,0,0,584,0,0,0
2877539,0,0,0,0,584,0,0,0
2877549,0,0,0,0,584,0,0,0
2877559,0,0,0,0,584,0,0,1
2877569,0,0,0,0,584,0,0,1
2877579,0,0,0,0,584,0,0,0
2877589,0,0,1,0,588,4,0,0
2877599,1,0,0,0,587,4,0,0
2877609,1,1,0,0,588,4,0,0
2877619,0,0,0,0,584,0,0,0
2877629,0,0,0,0,585,0,0,0
2877639,0,0,0,0,585,0,0,0
2877649,0,0,0,0,585,0,0,0
2877659,0,1,0,0,589,3,0,0
2877669,0,0,0,0,585,0,0,0
2877679,0,0,0,0,586,0,0,2
2877689,0,0,0,0,587,0,0,0
2877699,0,0,0,0,586,0,0,0
2877709,0,0,0,0,585,0,0,0
2877719,0,0,0,0,585,0,0,0
2877729,1,0,0,1,589,0,0,0
2877740,0,0,0,0,586,0,0,0
2877749,0,0,0,0,586,0,0,0
2877759,0,0,0,0,586,0,0,0
2877769,0,0,0,0,586,0,0,0
2877779,0,0,0,0,586,0,0,0
2877789,0,0,0,0,586,0,0,0
2877799,1,0,0,1,590,1,0,0
2877809,0,0,0,0,587,0,0,0
2877819,0,0,0,0,587,0,0,3
2877829,0,0,0,0,587,0,0,3
2877839,0,0,0,0,587,0,0,0
2877849,0,0,0,0,587,0,0,0
2877859,0,0,0,0,586,0,0,0
2877869,1,1,0,0,590,1,3,0
2877879,0,0,0,0,586,0,0,0
2877889,0,0,0,0,587,0,0,0
2877899,0,0,0,0,586,0,0,0
2877910,0,0,0,0,587,0,0,0
2877919,0,0,0,2,586,0,0,0
2877929,0,0,0,0,587,0,0,0
2877939,0,0,0,0,587,0,0,0
2877949,0,0,0,0,587,0,0,0
2877959,0,0,0,0,587,0,0,0
2877969,0,0,0,0,588,0,0,0
2877979,0,0,0,0,588,0,0,0
2877989,0,0,0,0,588,0,0,0
2877999,0,0,0,0,588,0,0,0
2878009,0,0,0,0,588,0,0,0
2878019,4,0,1,3,587,0,0,0
2878029,0,0,0,0,588,0,0,0
2878039,0,0,0,0,588,0,0,0
2878049,0,0,0,0,588,0,0,0
2878059,0,0,0,0,588,0,0,0
2878069,0,0,0,0,588,0,0,0
2878080,0,0,0,0,589,0,0,0
2878089,0,0,0,0,588,0,0,0
2878099,4,0,1,0,587,0,0,0
2878109,4,0,1,0,587,0,0,0
2878119,5,0,2,0,586,0,0,0
