Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
319969,734,0,0,0,0,0,0,0
319979,734,0,0,0,0,0,0,0
319989,734,0,0,0,0,0,0,0
320000,734,0,0,0,0,0,0,0
320009,734,0,0,0,0,0,0,0
320019,734,0,0,0,0,0,0,0
320029,734,0,1,1,1,0,0,1
320039,734,0,0,0,0,0,0,0
320049,734,0,0,0,0,0,0,0
320059,734,0,0,0,0,0,0,0
320069,734,0,0,0,0,0,0,0
320079,734,0,0,0,0,0,0,0
320089,734,0,0,0,0,0,0,0
320099,734,0,0,0,0,0,0,0
320109,735,0,0,0,0,0,0,0
320119,734,0,0,0,0,0,0,0
320129,734,0,0,0,0,0,0,0
320139,734,0,0,0,0,0,0,0
320149,734,0,0,0,0,0,0,0
320159,734,0,0,0,0,0,0,0
320169,734,0,0,0,0,0,0,0
320179,733,0,0,0,0,0,0,0
320189,734,0,1,0,1,4,0,1
320199,733,0,1,1,1,4,0,2
320209,733,0,1,1,1,4,0,3
320219,733,0,2,1,1,4,0,4
320229,733,0,1,1,1,4,0,3
320239,734,0,0,0,0,0,0,0
320249,734,0,0,0,0,0,0,0
320259,734,0,0,0,0,0,0,0
320269,734,0,0,0,0,0,0,0
320279,735,0,0,0,0,0,0,0
320289,734,0,0,0,0,0,0,0
320300,735,0,0,0,0,0,0,0
320309,734,0,2,1,1,0,1,0
320319,733,0,3,1,1,0,1,0
320329,732,0,0,0,0,0,0,0
320339,734,0,0,0,0,0,0,0
320349,734,0,0,0,0,0,0,0
320359,734,0,0,0,0,0,0,0
320369,734,0,0,0,0,0,0,0
320379,737,3,0,0,0,0,0,0
320389,734,0,0,0,0,0,0,0
320399,734,0,0,0,0,0,0,0
320409,735,0,0,0,0,0,0,0
320419,735,0,0,0,0,0,0,0
320429,734,0,0,0,0,0,0,0
320439,734,0,0,0,0,0,0,0
320449,737,4,0,0,0,0,0,0
320459,734,0,0,0,0,0,0,0
320470,734,0,0,0,0,0,0,0
320479,734,0,0,0,0,0,0,0
320489,735,0,0,0,0,0,0,0
320499,734,0,0,1,0,1,4,0
320509,734,0,0,1,1,1,3,0
320519,737,4,0,0,0,0,0,0
320529,735,0,0,0,0,0,0,0
320539,735,0,0,0,0,0,0,0
320549,735,0,0,0,0,0,0,0
320559,735,0,0,0,0,0,0,0
320569,735,0,0,0,0,0,0,0
320579,735,0,0,0,0,0,0,0
320589,739,1,0,0,0,0,0,0
320599,734,0,0,0,0,0,0,0
320609,735,0,0,0,0,0,0,0
320619,735,0,0,0,0,0,0,0
320629,735,0,0,0,0,0,0,0
320640,735,0,0,0,0,0,0,0
320649,735,0,0,0,0,0,0,0
320659,738,0,0,0,0,0,0,0
320669,735,0,0,0,0,0,0,0
320679,735,0,0,0,0,0,0,0
320689,735,0,0,0,0,0,0,0
